1 0 3 3 2 4 3 6 6  494.0 -0.41904732410634216 -0.41904732410634216 494 0.9918484499999805 0.09349414953125018 426 0.09273202729663689
6 2 2 2 5 0 3 6 2  464.0 -0.34969365719239115 -0.34969365719239115 464 0.9369878999999844 0.08855474093749986 457 0.08297472074607065
5 5 6 0 1 3 2 3 6  464.0 -0.356605536689289 -0.356605536689289 464 0.9414500499999842 0.08916792453124987 462 0.08394714700834001
0 5 0 1 3 2 6 2 6  1063.0 -1.8660951484457098 -1.8660951484457098 1063 1.8413264499999564 0.16092524828124935 550 0.29631591613307445
7 5 5 0 0 3 6 6 4  871.0 -2.116721645085322 -2.116721645085322 871 1.8520355499999435 0.17903346296874753 621 0.33157633805771886
7 2 3 2 7 3 6 7 5  256.0 -1.1102230246251565e-16 -1.1102230246251565e-16 256 0.5830118499999969 0.0579347176562497 385 0.033776626919997624
4 2 5 7 4 4 5 6 1  256.0 -5.551115123125783e-17 -5.551115123125783e-17 256 0.5830118499999969 0.0579347176562497 385 0.033776626919997624
2 5 4 2 1 4 6 6 5  256.0 -5.551115123125783e-17 -5.551115123125783e-17 256 0.5830118499999969 0.0579347176562497 385 0.033776626919997624
6 5 3 6 5 5 1 7 6  256.0 -5.551115123125783e-17 -5.551115123125783e-17 256 0.5830118499999969 0.0579347176562497 385 0.033776626919997624
0 4 6 1 4 5 6 0 4  938.0 -2.4419042495481156 -2.4419042495481156 938 1.9789558499999382 0.19066923265624663 626 0.3773259933800785
6 2 4 6 2 5 5 3 1  383.0 -0.29682592084430953 -0.29682592084430953 383 0.871924149999985 0.08663231234374998 385 0.0755368053028574
7 4 4 0 7 1 2 4 4  591.0 -0.8836361760369151 -0.8836361760369151 591 1.2749838499999684 0.12399735515625106 581 0.1580946252669304
2 7 2 6 6 2 4 4 7  256.0 -1.1102230246251565e-16 -1.1102230246251565e-16 256 0.5830118499999969 0.0579347176562497 385 0.033776626919997624
7 1 5 4 0 7 4 2 1  589.0 -0.8741948174395646 -0.8741948174395646 589 1.269796599999969 0.12345782687500106 591 0.15676632880926114
7 1 0 1 3 4 2 1 3  591.0 -0.895869334765576 -0.895869334765576 591 1.2807208999999682 0.12478573406250107 581 0.15981569763568307
1 2 4 0 6 0 3 0 3  991.0 -2.682500056979041 -2.682500056979041 991 2.0702028499999385 0.19861590203124646 633 0.41117520644039496
