4 2 1 7 0 3 0 4 1  322.0 -1.4100679129034548 -1.4100679129034548 322 0.322 0.016347940000000106 119 0.005264036680000033
1 7 5 0 7 2 4 3 0  304.0 -1.1470979486102384 -1.1470979486102384 304 0.304 0.015434080000000096 125 0.004691960320000029
0 5 7 3 0 3 1 6 2  283.0 -0.8594132885248215 -0.8594132885248215 283 0.283 0.014367910000000088 124 0.004066118530000024
3 2 5 3 5 0 4 0 5  313.0 -1.2766925715886048 -1.2766925715886048 313 0.313 0.0158910100000001 119 0.004973886130000032
5 7 4 5 3 3 5 7 4  218.0 -0.09941888958902229 -0.09941888958902229 218 0.218 0.01106786000000006 99 0.002412793480000013
0 3 5 4 2 2 7 5 4  260.0 -0.5679479101029207 -0.5679479101029207 260 0.26 0.013200200000000077 101 0.00343205200000002
6 6 3 4 7 2 5 5 1  198.0 0.09475133608719004 0.09475133608719004 198 0.198 0.01005246000000005 108 0.00199038708000001
3 4 3 6 6 7 3 6 2  202.0 0.057410908072533906 0.057410908072533906 202 0.202 0.010255540000000053 104 0.0020716190800000103
3 5 4 7 4 7 7 5 6  244.0 -0.3797521529090535 -0.3797521529090535 244 0.244 0.01238788000000007 109 0.003022642720000017
7 4 7 2 5 4 1 4 0  318.0 -1.350323228080005 -1.350323228080005 318 0.318 0.0161448600000001 129 0.005134065480000033
1 1 2 7 1 0 6 4 2  217.0 -0.08926696072253748 -0.08926696072253748 217 0.217 0.01101709000000006 98 0.0023907085300000127
4 5 7 0 7 5 6 3 4  304.0 -1.1470979486102386 -1.1470979486102386 304 0.304 0.015434080000000096 117 0.004691960320000029
3 2 2 7 2 3 3 4 5  230.0 -0.22488272771826692 -0.22488272771826692 230 0.23 0.011677100000000063 106 0.002685733000000015
1 7 1 2 0 1 5 4 4  244.0 -0.37975215290905334 -0.37975215290905334 244 0.244 0.01238788000000007 99 0.003022642720000017
1 1 5 6 0 4 7 1 5  244.0 -0.3797521529090534 -0.3797521529090534 244 0.244 0.01238788000000007 99 0.003022642720000017
3 1 1 4 3 5 6 3 4  251.0 -0.4606175173282932 -0.4606175173282932 251 0.251 0.012743270000000074 99 0.003198560770000018
0 2 6 4 4 3 1 3 3  263.0 -0.604564867324793 -0.604564867324793 263 0.263 0.013352510000000078 109 0.0035117101300000206
2 4 1 4 5 6 3 1 4  225.0 -0.17178930663492759 -0.17178930663492759 225 0.225 0.011423250000000062 94 0.002570231250000014
1 7 5 7 6 2 5 3 1  227.0 -0.19288664846320852 -0.19288664846320852 227 0.227 0.011524790000000062 105 0.0026161273300000145
3 1 7 5 7 4 0 2 2  269.0 -0.6790590212140323 -0.6790590212140323 269 0.269 0.013657130000000081 125 0.0036737679700000222
4 3 7 0 0 3 5 1 2  317.0 -1.335503745711688 -1.335503745711688 317 0.317 0.016094090000000102 134 0.005101826530000032
0 2 2 5 7 6 4 7 6  249.0 -0.437279749819133 -0.437279749819133 249 0.249 0.012641730000000073 97 0.003147790770000018
1 7 3 3 7 2 4 7 5  230.0 -0.22488272771826692 -0.22488272771826692 230 0.23 0.011677100000000063 97 0.002685733000000015
4 5 6 7 1 7 7 4 4  231.0 -0.23564143853998978 -0.23564143853998978 231 0.231 0.011727870000000064 86 0.002709137970000015
3 1 2 3 2 7 4 3 0  288.0 -0.9260426147634736 -0.9260426147634736 288 0.288 0.01462176000000009 121 0.004211066880000025
5 1 7 0 6 2 3 6 7  256.0 -0.5197787579640143 -0.5197787579640143 256 0.256 0.012997120000000075 98 0.0033272627200000193
1 6 7 2 2 3 6 3 6  227.0 -0.19288664846320852 -0.19288664846320852 227 0.227 0.011524790000000062 95 0.0026161273300000145
2 7 1 2 3 0 0 3 3  334.0 -1.593782818735564 -1.593782818735564 334 0.334 0.01695718000000011 134 0.005663698120000038
1 7 4 3 5 1 0 3 6  280.0 -0.8199957992018505 -0.8199957992018505 280 0.28 0.014215600000000085 120 0.003980368000000025
6 7 6 6 1 1 6 3 0  289.0 -0.9395085066162591 -0.9395085066162591 289 0.289 0.01467253000000009 112 0.004240361170000026
5 3 7 1 7 2 4 7 3  228.0 -0.2035053326798764 -0.2035053326798764 228 0.228 0.011575560000000063 110 0.0026392276800000147
2 3 4 5 5 7 0 1 2  272.0 -0.7169362178813992 -0.7169362178813992 272 0.272 0.013809440000000082 124 0.003756167680000023
5 6 1 4 5 1 6 3 5  221.0 -0.13015472939858608 -0.13015472939858608 221 0.221 0.01122017000000006 94 0.0024796575700000135
7 7 0 5 3 7 3 6 6  257.0 -0.5317510326962132 -0.5317510326962132 257 0.257 0.013047890000000076 97 0.0033533077300000195
3 5 2 6 7 4 3 1 4  240.0 -0.33457023501131944 -0.33457023501131944 240 0.24 0.012184800000000068 97 0.0029243520000000163
5 4 3 3 5 3 3 0 0  341.0 -1.7040537702163452 -1.7040537702163452 341 0.341 0.017312570000000114 142 0.005903586370000039
