6 3 5 3 3 6 7 6 0  2433.0 -0.23039808451597235 -0.23039808451597235 2433 4.161764400000178 0.361088253750007 870 1.5027642397150098
6 3 7 5 1 7 2 2 4  2104.0 -0.07504615708290134 -0.07504615708290134 2104 3.779218600000137 0.33702672062500466 864 1.2736976512830673
0 2 6 6 7 7 2 5 1  2844.0 -0.2561556016886641 -0.2561556016886641 2844 4.363043350000158 0.35313509484375805 894 1.5407437272097335
6 7 2 0 3 1 3 3 1  2391.0 -0.21615560054271593 -0.21615560054271593 2391 4.1229516500001715 0.35939390203125626 833 1.4817636813797679
1 3 7 0 5 5 6 6 2  2363.0 -0.18360580776358126 -0.18360580776358126 2363 4.059891900000165 0.35315447093750546 853 1.4337689760080223
5 3 4 0 4 6 3 5 3  2549.0 -0.4711009912101347 -0.4711009912101347 2549 4.567166700000227 0.4067469096875113 876 1.8576809412528015
1 7 0 2 1 6 7 6 7  2281.0 -0.14925321813700237 -0.14925321813700237 2281 3.9721548500001633 0.3482029520312545 843 1.383116044695322
1 0 4 5 2 0 5 0 4  2932.0 -0.36434283138697143 -0.36434283138697143 2932 4.561322200000153 0.37275724937500704 843 1.700265916785213
6 1 0 2 1 6 1 3 3  2422.0 -0.19735192538467236 -0.19735192538467236 2422 4.104868000000165 0.35422275250000596 840 1.4540376416092529
1 7 1 7 3 5 6 1 0  2546.0 -0.424609435579272 -0.424609435579272 2546 4.499146800000225 0.39765963875001054 872 1.7891290911713553
0 2 3 3 3 4 2 1 1  2820.0 -0.22439134839805855 -0.22439134839805855 2820 4.303983600000128 0.3470987437500059 865 1.4939073006806725
1 0 5 1 6 4 1 7 7  2522.0 -0.31251862884431203 -0.31251862884431203 2522 4.323433700000215 0.37559291656250704 852 1.6238510729477116
4 6 3 2 6 1 6 6 6  2148.0 -0.04694966591481706 -0.04694966591481706 2148 3.7473620500001217 0.32883647953125406 841 1.2322693440510633
2 5 2 5 4 1 6 7 3  2105.0 -0.04056812566195242 -0.04056812566195242 2105 3.7196608500001203 0.3287557132812533 850 1.2228597559061425
2 5 7 3 7 1 0 6 7  2215.0 -0.1400968777721449 -0.1400968777721449 2215 3.931652850000147 0.3483560382812552 864 1.3696150107232574
1 5 2 6 0 2 2 1 2  2411.0 -0.14655864839023408 -0.14655864839023408 2411 4.018011450000159 0.3432401614062553 855 1.3791428986302365
3 5 4 6 2 7 1 5 5  2090.0 -0.05606080441139005 -0.05606080441139005 2090 3.740995500000125 0.3329872296875043 839 1.2457037278184617
3 6 2 6 3 7 3 5 4  2187.0 -0.11526096918504333 -0.11526096918504333 2187 3.8794297500001305 0.3436057673437551 861 1.3329944361049868
0 6 0 3 4 1 0 7 2  5088.0 -2.989028649561982 -2.989028649561982 5088 8.087719970000462 0.6887439318750423 1086 5.570368052042419
6 4 0 6 3 5 2 6 7  2358.0 -0.2824417599811898 -0.2824417599811898 2358 4.2142544000002 0.3748000350000081 873 1.5795026966190129
1 7 7 7 7 1 0 1 3  2408.0 -0.24696033905091652 -0.24696033905091652 2408 4.178198650000193 0.36551285140625656 829 1.5271853023033424
7 6 4 7 7 6 7 1 4  2051.0 -0.08899768859763545 -0.08899768859763545 2051 3.782951650000139 0.34213210203125444 850 1.29426919989715
0 2 3 2 7 1 0 7 0  6516.0 -12.250919323382503 -12.250919323382503 6516 12.618712989999963 1.5236923200000958 1802 19.227036071148387
3 1 3 6 4 4 7 4 6  2096.0 -0.061860573684686115 -0.061860573684686115 2096 3.75337000000012 0.33416782625000474 853 1.2542554940120205
4 1 2 4 0 3 5 1 2  2473.0 -0.33853607887488957 -0.33853607887488957 2473 4.3439157500002175 0.3826533310937584 860 1.6622138317282251
2 7 2 2 5 5 1 7 7  1977.0 0.004152995761625807 0.004152995761625807 1977 3.5910234000001218 0.322169555625002 854 1.1569184130170231
2 7 0 5 4 2 3 0 3  2594.0 -0.3937447755702902 -0.3937447755702902 2594 4.472565150000219 0.38984767296875933 863 1.7436191159287553
4 5 7 7 6 6 6 4 3  2115.0 -0.08717881551931839 -0.08717881551931839 2115 3.8042425000001368 0.33951233906250367 868 1.291587269536033
1 7 2 3 5 2 0 0 0  2467.0 -0.3016511505185363 -0.3016511505185363 2467 4.285644850000194 0.37516570328125703 859 1.60782696416402
1 3 2 6 7 5 2 6 3  2103.0 0.0003083188006179488 0.0003083188006179488 2103 3.6462664500001054 0.3188432357812529 837 1.1625873934386557
4 2 7 4 3 5 0 3 1  2561.0 -0.46735548104249564 -0.46735548104249564 2561 4.566417700000231 0.4056041965625109 885 1.8521581823774225
2 1 4 7 0 1 6 2 2  2414.0 -0.32459043163830437 -0.32459043163830437 2414 4.300214550000199 0.3817602448437579 871 1.6416509594887663
1 4 4 1 4 7 2 6 0  2645.0 -0.5303408946459085 -0.5303408946459085 2645 4.687389800000244 0.4149495406250135 988 1.9450302442404752
3 2 0 6 3 3 5 6 6  2404.0 -0.23244349414425364 -0.23244349414425364 2404 4.153800250000176 0.36250664640625646 863 1.5057801984690335
