1 4 1 6 7 0 7 4 0  1241.0 -4.062090269747037 -4.062090269747037 1241 1.6967767499999793 0.12563789421875265 420 0.2131794578293363
4 0 5 0 7 7 5 6 4  976.0 -2.3127974069587074 -2.3127974069587074 976 1.3227727999999876 0.09720464500000098 386 0.1285796604396561
6 0 6 5 4 4 1 1 2  815.0 -1.2632203790753735 -1.2632203790753735 815 1.0521313999999953 0.07396387812499897 330 0.0778197186410842
1 5 2 2 6 4 1 7 0  590.0 -0.019551195915077126 -0.019551195915077126 590 0.59 0.02995430000000022 256 0.01767303700000013
2 7 5 7 2 7 1 0 6  636.0 -0.07875487100242068 -0.07875487100242068 636 0.636 0.032289720000000244 249 0.020536261920000153
5 0 6 5 2 6 1 3 0  1067.0 -0.929728567980275 -0.929728567980275 1067 1.0861234999999996 0.056799519687498766 261 0.06169129312130504
6 5 0 2 7 4 5 0 5  831.0 -1.2190616892164838 -1.2190616892164838 831 1.0490078999999963 0.07214826843749904 328 0.07568410356225687
5 5 4 5 4 7 2 4 6  895.0 -2.0444021925522415 -2.0444021925522415 895 1.2417727999999875 0.09309227500000065 380 0.11559945498511963
7 7 5 6 1 0 7 7 4  810.0 -0.7202159809943248 -0.7202159809943248 810 0.9190039499999982 0.056102899218748864 299 0.05155878598848202
5 2 6 6 3 5 5 3 2  573.0 0.001204103399623832 0.001204103399623832 573 0.573 0.029091210000000214 250 0.01666926333000012
2 3 7 4 4 3 4 6 3  668.0 -0.12256029965063349 -0.12256029965063349 668 0.668 0.03391436000000018 251 0.02265479248000012
6 0 7 3 6 3 1 3 6  666.0 -0.11975947325987829 -0.11975947325987829 666 0.666 0.03381282000000018 238 0.02251933812000012
6 0 5 1 3 2 1 5 1  682.0 -0.1424012362268224 -0.1424012362268224 682 0.682 0.03462514000000013 252 0.02361434548000009
4 4 3 4 0 5 5 1 5  965.0 -2.071249896732809 -2.071249896732809 965 1.2754381499999894 0.09165310859375052 362 0.11689787126656129
2 7 4 4 0 0 2 5 2  667.0 -0.18918502668197573 -0.18918502668197573 667 0.692498 0.037367496249999924 261 0.025876916418132445
7 6 5 4 7 6 1 2 2  717.0 -0.46752623143272165 -0.46752623143272165 717 0.8068804499999983 0.04875335953124933 294 0.039338132677586166
0 3 7 6 5 1 1 1 7  999.0 -0.7018075198199315 -0.7018075198199315 999 0.999 0.050719229999999116 249 0.05066851076999911
4 4 4 0 7 7 1 6 5  903.0 -1.7094372256946897 -1.7094372256946897 903 1.1815656499999916 0.08412548578124987 379 0.09939978428868755
5 3 3 2 5 1 5 1 0  594.0 -0.02452297769416875 -0.02452297769416875 594 0.594 0.030157380000000223 253 0.01791348372000013
1 1 3 3 3 5 1 3 6  638.0 -0.08142972319269214 -0.08142972319269214 638 0.638 0.03239126000000024 246 0.020665623880000157
6 7 3 5 0 3 6 1 5  638.0 -0.08142972319269222 -0.08142972319269222 638 0.638 0.03239126000000024 240 0.020665623880000157
1 5 4 6 6 5 5 2 1  889.0 -0.4837881701827422 -0.4837881701827422 889 0.889 0.045134529999999465 254 0.040124597169999526
4 7 4 1 1 3 4 4 0  970.0 -1.9309060847034465 -1.9309060847034465 970 1.251752899999992 0.08796506406250025 358 0.11011052403891977
7 2 2 1 2 2 1 3 3  634.0 -0.07608841709218139 -0.07608841709218139 634 0.634 0.03218818000000024 247 0.020407306120000152
2 1 5 3 5 6 1 0 1  717.0 -0.19914983240102963 -0.19914983240102963 717 0.7189123500000001 0.03666488296875 257 0.026358837177539042
0 0 4 3 1 3 6 6 2  1115.0 -1.0946547299888325 -1.0946547299888325 1115 1.1455975999999999 0.06081323749999847 263 0.06966749892822825
2 7 5 2 4 1 6 0 3  665.0 -0.11836220941951286 -0.11836220941951286 665 0.665 0.03376205000000018 252 0.022451763250000124
6 1 2 4 1 3 5 1 7  717.0 -0.43209035706079674 -0.43209035706079674 717 0.7960437999999992 0.047264199374999344 277 0.037624372874432065
7 4 3 6 5 7 5 6 4  795.0 -0.724342454089044 -0.724342454089044 795 0.9135656999999983 0.05665531406249881 299 0.05175835165022647
1 5 6 0 5 0 0 3 0  806.0 -0.35823068380962436 -0.35823068380962436 806 0.8130119499999994 0.041884194218749664 259 0.03405235041596436
4 0 7 5 1 6 3 5 3  907.0 -1.8670005857309881 -1.8670005857309881 907 1.2136134499999887 0.08818286265625 373 0.10701990817912672
5 7 5 6 6 4 2 7 2  714.0 -0.4682706087992766 -0.4682706087992766 714 0.805792799999998 0.048863842499999345 291 0.03937413246683337
4 1 4 4 5 1 7 2 6  855.0 -1.2702761462345524 -1.2702761462345524 855 1.070458099999995 0.07301635781249902 353 0.0781609516528875
7 6 4 7 6 3 1 1 7  712.0 -0.22935449555617815 -0.22935449555617815 712 0.7272987999999997 0.03825058374999988 263 0.027819603660674402
4 0 1 0 1 6 3 6 3  997.0 -2.303145757527967 -2.303145757527967 997 1.3297488999999885 0.09634366656250068 386 0.12811288463345097
0 3 2 6 2 4 2 3 1  1054.0 -0.8203439935501089 -0.8203439935501089 1054 1.054 0.05351157999999894 245 0.056401205319998884
1 6 3 7 5 1 6 6 3  647.0 -0.0935704867643129 -0.0935704867643129 647 0.647 0.03284819000000024 246 0.021252778930000157
5 1 2 1 2 1 3 7 0  707.0 -0.1788550204918044 -0.1788550204918044 707 0.707 0.035894390000000054 250 0.025377333730000035
2 1 7 5 2 3 2 6 1  577.0 -0.0036249076189197593 -0.0036249076189197593 577 0.577 0.029294290000000216 251 0.016902805330000124
5 7 4 3 1 0 1 2 1  771.0 -0.9505963163725348 -0.9505963163725348 771 0.9609600999999967 0.0652477715624985 322 0.0627005050854755
3 7 1 1 5 4 5 4 7  766.0 -0.6448776119932436 -0.6448776119932436 766 0.8794660999999983 0.05448220281249897 306 0.04791525042691741
3 3 1 5 5 3 5 7 3  636.0 -0.07875487100242062 -0.07875487100242062 636 0.636 0.032289720000000244 242 0.020536261920000153
4 3 7 1 3 3 5 5 4  919.0 -1.853726399057464 -1.853726399057464 919 1.2160516999999917 0.08747813781250015 373 0.10637793819972437
4 0 2 1 0 5 4 1 6  955.0 -1.353305255579361 -1.353305255579361 955 1.1309361999999974 0.07266230312499886 337 0.08217642897943414
6 5 7 0 1 0 7 3 2  680.0 -0.14630696260174655 -0.14630696260174655 680 0.6825498 0.034873990625000115 257 0.023803235326295705
2 3 5 6 0 0 3 6 3  637.0 -0.08009124731255232 -0.08009124731255232 637 0.637 0.03234049000000024 254 0.020600892130000152
1 6 5 0 5 5 1 7 3  716.0 -0.37144117546402444 -0.37144117546402444 716 0.7765577499999999 0.044673097343749434 283 0.03469123995879304
5 1 4 6 5 0 5 5 3  1277.0 -4.734724456403441 -4.734724456403441 1277 1.799071549999973 0.13657577046875158 393 0.24570958306965743
2 2 7 3 7 1 0 6 6  573.0 0.001204103399623832 0.001204103399623832 573 0.573 0.029091210000000214 253 0.01666926333000012
1 2 7 0 1 7 6 2 2  607.0 -0.040913270962107895 -0.040913270962107895 607 0.607 0.03081739000000023 234 0.018706155730000135
2 7 5 3 5 7 3 7 3  577.0 -0.0036249076189197454 -0.0036249076189197454 577 0.577 0.029294290000000216 247 0.016902805330000124
4 6 7 3 2 2 7 3 7  848.0 -1.4321097978117643 -1.4321097978117643 848 1.1023425499999928 0.07800442484374931 360 0.0859875965935414
7 6 2 6 2 1 4 4 1  788.0 -1.1592735377496532 -1.1592735377496532 788 1.0174819999999967 0.0715419162499991 320 0.07279261202988135
5 6 3 0 3 7 3 4 7  771.0 -0.8160087870113362 -0.8160087870113362 771 0.927175249999998 0.06060509578124862 307 0.056191544832253006
3 6 5 0 6 6 3 2 6  608.0 -0.042188759742005824 -0.042188759742005824 608 0.608 0.030868160000000228 246 0.018767841280000138
0 7 3 1 6 7 2 2 1  1004.0 -0.7123211166353038 -0.7123211166353038 1004 1.004 0.0509730799999991 236 0.0511769723199991
5 5 3 3 5 6 2 7 3  643.0 -0.08815359614351195 -0.08815359614351195 643 0.643 0.03264511000000024 250 0.020990805730000155
