1 1 4 3 7 3 3 3 7  236.0 1.9285714285714286 1.9285714285714286 236 0.236 0.011981720000000067 60
6 0 6 4 0 1 5 1 4  289.0 1.7857142857142856 1.7857142857142856 289 0.289 0.01467253000000009 68
4 3 5 0 5 1 7 0 4  271.0 1.857142857142857 1.857142857142857 271 0.271 0.013758670000000082 64
2 1 5 5 0 3 1 6 0  282.0 1.339285714285714 1.339285714285714 282 0.282 0.014317140000000088 93
6 4 2 1 6 0 7 3 5  267.0 1.8571428571428568 1.8571428571428568 267 0.267 0.01355559000000008 64
4 6 5 7 6 6 3 4 7  240.0 1.9821428571428568 1.9821428571428568 240 0.24 0.012184800000000068 57
5 2 3 1 1 6 0 2 4  270.0 1.839285714285714 1.839285714285714 270 0.27 0.013707900000000082 65
6 3 5 0 2 5 6 4 2  258.0 1.732142857142857 1.732142857142857 258 0.258 0.013098660000000076 71
3 3 4 3 1 3 6 0 1  275.0 1.6071428571428572 1.6071428571428572 275 0.275 0.013961750000000083 78
6 1 5 6 2 7 6 5 6  228.0 2.0892857142857144 2.0892857142857144 228 0.228 0.011575560000000063 51
2 2 5 2 7 0 4 3 1  275.0 1.8214285714285712 1.8214285714285712 275 0.275 0.013961750000000083 66
3 6 2 6 2 3 1 2 0  273.0 1.6785714285714282 1.6785714285714282 273 0.273 0.013860210000000083 74
5 5 7 5 3 5 2 6 2  228.0 2.0535714285714284 2.0535714285714284 228 0.228 0.011575560000000063 53
7 2 2 3 4 7 4 6 5  235.0 1.9285714285714288 1.9285714285714288 235 0.235 0.011930950000000067 60
3 1 0 2 7 1 2 6 1  239.0 1.75 1.75 239 0.239 0.012134030000000068 70
3 4 0 5 6 3 7 5 0  280.0 1.5892857142857142 1.5892857142857142 280 0.28 0.014215600000000085 79
3 3 5 5 7 2 0 5 4  277.0 1.6785714285714288 1.6785714285714288 277 0.277 0.014063290000000084 74
6 6 4 5 6 5 5 6 5  240.0 2.0 2.0 240 0.24 0.012184800000000068 56
2 2 5 0 1 3 1 5 2  262.0 1.7857142857142856 1.7857142857142856 262 0.262 0.013301740000000077 68
0 0 7 4 0 1 4 1 0  340.0 1.4642857142857142 1.4642857142857142 340 0.34 0.017261800000000112 86
4 3 6 5 1 0 6 5 0  292.0 1.4464285714285716 1.4464285714285716 292 0.292 0.01482484000000009 87
0 2 0 7 5 3 4 3 6  291.0 1.5892857142857142 1.5892857142857142 291 0.291 0.01477407000000009 79
1 7 6 4 7 3 2 2 6  232.0 1.8571428571428572 1.8571428571428572 232 0.232 0.011778640000000064 64
6 2 1 7 7 7 7 7 3  244.0 1.9999999999999996 1.9999999999999996 244 0.244 0.01238788000000007 56
2 6 1 5 4 2 5 2 3  249.0 1.9107142857142856 1.9107142857142856 249 0.249 0.012641730000000073 61
1 4 3 4 5 0 0 5 6  298.0 1.3928571428571423 1.3928571428571423 298 0.298 0.015129460000000094 90
0 7 1 4 2 2 5 5 6  248.0 1.875 1.875 248 0.248 0.012590960000000071 63
2 1 6 7 4 1 5 7 0  270.0 1.6607142857142856 1.6607142857142856 270 0.27 0.013707900000000082 75
1 5 6 6 6 3 4 3 2  244.0 1.8571428571428568 1.8571428571428568 244 0.244 0.01238788000000007 64
1 0 4 2 5 6 4 2 2  256.0 1.8571428571428572 1.8571428571428572 256 0.256 0.012997120000000075 64
6 6 7 7 1 0 5 6 5  266.0 1.6428571428571428 1.6428571428571428 266 0.266 0.01350482000000008 76
2 2 1 5 3 7 5 3 4  243.0 2.0714285714285716 2.0714285714285716 243 0.243 0.01233711000000007 52
5 3 7 6 5 0 5 3 3  285.0 1.714285714285714 1.714285714285714 285 0.285 0.014469450000000088 72
3 3 0 0 3 1 4 6 7  293.0 1.5535714285714284 1.5535714285714284 293 0.293 0.014875610000000091 81
2 2 6 4 7 7 6 0 0  283.0 1.482142857142857 1.482142857142857 283 0.283 0.014367910000000088 85
4 6 6 4 2 5 6 2 1  233.0 1.8035714285714284 1.8035714285714284 233 0.233 0.011829410000000066 67
6 0 7 6 7 7 4 0 7  273.0 1.6607142857142856 1.6607142857142856 273 0.273 0.013860210000000083 75
5 1 0 0 3 2 6 6 3  295.0 1.6428571428571426 1.6428571428571426 295 0.295 0.014977150000000092 76
3 7 5 5 6 7 2 3 2  237.0 1.8928571428571428 1.8928571428571428 237 0.237 0.012032490000000068 62
0 4 1 7 1 3 3 1 2  258.0 1.8928571428571426 1.8928571428571426 258 0.258 0.013098660000000076 62
0 7 0 3 4 4 5 2 1  268.0 1.75 1.75 268 0.268 0.013606360000000081 70
6 0 4 5 4 3 3 5 2  263.0 1.7499999999999996 1.7499999999999996 263 0.263 0.013352510000000078 70
0 1 6 2 3 1 6 6 4  271.0 1.7678571428571428 1.7678571428571428 271 0.271 0.013758670000000082 69
3 5 6 6 4 4 1 3 3  255.0 2.0535714285714284 2.0535714285714284 255 0.255 0.012946350000000075 53
7 7 4 6 6 2 5 2 3  248.0 1.910714285714286 1.910714285714286 248 0.248 0.012590960000000071 61
5 3 3 2 5 7 5 7 0  259.0 1.7857142857142856 1.7857142857142856 259 0.259 0.013149430000000076 68
6 6 6 7 0 4 7 0 6  278.0 1.6428571428571426 1.6428571428571426 278 0.278 0.014114060000000084 76
2 1 5 6 3 3 5 3 4  245.0 1.9464285714285714 1.9464285714285714 245 0.245 0.01243865000000007 59
2 5 4 2 7 6 7 2 1  231.0 1.839285714285714 1.839285714285714 231 0.231 0.011727870000000064 65
5 1 3 3 1 5 3 6 2  234.0 1.964285714285714 1.964285714285714 234 0.234 0.011880180000000067 58
3 5 4 2 6 3 7 0 5  266.0 1.6785714285714284 1.6785714285714284 266 0.266 0.01350482000000008 74
6 5 6 1 2 5 2 1 0  267.0 1.607142857142857 1.607142857142857 267 0.267 0.01355559000000008 78
3 6 2 1 7 7 0 7 5  247.0 1.8571428571428572 1.8571428571428572 247 0.247 0.01254019000000007 64
6 6 5 1 6 3 2 2 3  247.0 1.8749999999999998 1.8749999999999998 247 0.247 0.01254019000000007 63
4 6 6 7 1 2 7 0 2  253.0 1.7678571428571428 1.7678571428571428 253 0.253 0.012844810000000075 69
2 3 2 0 1 3 6 2 6  257.0 1.7678571428571428 1.7678571428571428 257 0.257 0.013047890000000076 69
5 6 5 1 6 3 7 3 0  274.0 1.6071428571428568 1.6071428571428568 274 0.274 0.013910980000000083 78
1 1 5 1 6 1 1 7 5  234.0 1.9821428571428572 1.9821428571428572 234 0.234 0.011880180000000067 57
3 7 5 2 2 2 1 2 1  231.0 1.9285714285714284 1.9285714285714284 231 0.231 0.011727870000000064 60
7 6 6 3 4 6 4 3 5  256.0 2.0357142857142856 2.0357142857142856 256 0.256 0.012997120000000075 54
6 5 6 4 5 5 2 3 1  248.0 1.8035714285714284 1.8035714285714284 248 0.248 0.012590960000000071 67
7 2 3 1 4 7 7 7 7  231.0 2.035714285714286 2.035714285714286 231 0.231 0.011727870000000064 54
