2 0 6 6 3 4 6 7 5  244.0 -0.15943411696307458 -0.15943411696307458 244 0.244 0.01238788000000007 61 0.003022642720000017
6 0 7 6 0 0 6 3 4  278.0 -0.424009779222135 -0.424009779222135 278 0.278 0.014114060000000084 71 0.003923708680000024
4 1 4 7 1 2 5 5 7  234.0 -0.088176980068872 -0.088176980068872 234 0.234 0.011880180000000067 67 0.0027799621200000155
5 6 2 3 3 1 6 3 4  245.0 -0.1667238115114564 -0.1667238115114564 245 0.245 0.01243865000000007 58 0.0030474692500000173
7 4 5 3 5 7 6 5 0  279.0 -0.43231317362591554 -0.43231317362591554 279 0.279 0.014164830000000085 77 0.003951987570000024
0 4 2 3 6 0 4 4 2  253.0 -0.22611469715716837 -0.22611469715716837 253 0.253 0.012844810000000075 70 0.003249736930000019
1 6 1 6 6 1 0 3 6  262.0 -0.29521026818324136 -0.29521026818324136 262 0.262 0.013301740000000077 66 0.0034850558800000203
3 1 2 4 6 3 6 5 2  228.0 -0.04685380361056041 -0.04685380361056041 228 0.228 0.011575560000000063 66 0.0026392276800000147
1 6 6 4 5 3 1 7 0  265.0 -0.31877878982126123 -0.31877878982126123 265 0.265 0.013454050000000078 77 0.003565323250000021
1 3 3 7 0 2 6 0 3  281.0 -0.44900940653836474 -0.44900940653836474 281 0.281 0.014266370000000085 77 0.004008849970000025
2 7 5 3 5 6 4 4 5  243.0 -0.1521742371163222 -0.1521742371163222 243 0.243 0.01233711000000007 68 0.002997917730000017
5 5 6 5 3 4 2 3 2  240.0 -0.13057348578584102 -0.13057348578584102 240 0.24 0.012184800000000068 61 0.0029243520000000163
6 6 6 4 2 1 6 0 6  249.0 -0.19618073672127737 -0.19618073672127737 249 0.249 0.012641730000000073 63 0.003147790770000018
1 3 5 2 6 1 4 6 3  252.0 -0.2185864849957515 -0.2185864849957515 252 0.252 0.012794040000000074 66 0.0032240980800000182
3 0 7 7 7 4 2 1 0  261.0 -0.28741372370716034 -0.28741372370716034 261 0.261 0.013250970000000077 79 0.0034585031700000205
6 6 6 4 5 4 0 4 0  277.0 -0.415736199519984 -0.415736199519984 277 0.277 0.014063290000000084 74 0.003895531330000024
3 1 0 4 4 0 2 5 0  291.0 -0.5342794531983727 -0.5342794531983727 291 0.291 0.01477407000000009 90 0.004299254370000026
2 0 7 3 0 4 0 1 7  256.0 -0.24887822185119512 -0.24887822185119512 256 0.256 0.012997120000000075 70 0.0033272627200000193
6 3 3 1 5 3 6 2 0  248.0 -0.18877178336637815 -0.18877178336637815 248 0.248 0.012590960000000071 71 0.003122558080000018
0 4 0 5 4 1 7 2 6  237.0 -0.10924106677002424 -0.10924106677002424 237 0.237 0.012032490000000068 60 0.0028517001300000155
5 3 5 5 4 5 0 2 1  249.0 -0.19618073672127737 -0.19618073672127737 249 0.249 0.012641730000000073 74 0.003147790770000018
1 3 6 4 6 2 6 4 6  240.0 -0.13057348578584102 -0.13057348578584102 240 0.24 0.012184800000000068 59 0.0029243520000000163
3 7 1 0 5 1 7 4 0  270.0 -0.3586559532505483 -0.3586559532505483 270 0.27 0.013707900000000082 76 0.0037011330000000222
0 0 7 2 4 6 3 4 6  258.0 -0.26420297848869295 -0.26420297848869295 258 0.258 0.013098660000000076 69 0.0033794542800000197
4 3 5 4 1 1 1 6 4  254.0 -0.2336727240202147 -0.2336727240202147 254 0.254 0.012895580000000075 69 0.0032754773200000193
5 5 0 3 4 6 4 4 0  263.0 -0.30303662736095205 -0.30303662736095205 263 0.263 0.013352510000000078 69 0.0035117101300000206
1 4 1 5 5 3 1 4 6  252.0 -0.2185864849957515 -0.2185864849957515 252 0.252 0.012794040000000074 68 0.0032240980800000182
