5 4 2 6 7 6 4 0 0  298.0 -0.17454836645669347 -0.17454836645669347 298 0.298 0.015129460000000094 84
6 1 6 2 7 3 1 0 2  261.0 -0.028879075118110276 -0.028879075118110276 261 0.261 0.013250970000000077 80
0 1 1 0 5 0 0 5 1  304.0 -0.198170413700788 -0.198170413700788 304 0.304 0.015434080000000096 83
5 5 4 2 4 1 2 1 5  233.0 0.08135714535433089 0.08135714535433089 233 0.233 0.011829410000000066 61
3 6 0 3 0 0 3 5 0  330.0 -0.30053261842519774 -0.30053261842519774 330 0.33 0.01675410000000011 90
2 2 4 5 6 7 5 5 6  236.0 0.06954612173228363 0.06954612173228363 236 0.236 0.011981720000000067 57
6 7 2 6 1 5 1 3 5  243.0 0.04198706661417336 0.04198706661417336 243 0.243 0.01233711000000007 58
0 6 4 4 4 0 6 5 3  303.0 -0.19423340582677223 -0.19423340582677223 303 0.303 0.015383310000000096 85
5 5 3 3 3 0 5 7 7  246.0 0.030176042992126114 0.030176042992126114 246 0.246 0.01248942000000007 67
3 0 5 6 6 5 0 1 2  271.0 -0.06824915385826794 -0.06824915385826794 271 0.271 0.013758670000000082 83
6 6 2 2 4 1 4 5 7  232.0 0.08529415322834677 0.08529415322834677 232 0.232 0.011778640000000064 58
0 4 4 1 5 4 3 2 5  260.0 -0.024942067244094528 -0.024942067244094528 260 0.26 0.013200200000000077 62
4 6 5 2 2 5 3 7 7  234.0 0.07742013748031512 0.07742013748031512 234 0.234 0.011880180000000067 60
3 2 2 6 4 5 3 1 0  279.0 -0.09974521685039392 -0.09974521685039392 279 0.279 0.014164830000000085 76
2 3 7 7 5 0 1 5 6  261.0 -0.02887907511811027 -0.02887907511811027 261 0.261 0.013250970000000077 80
5 1 0 0 0 2 7 6 1  250.0 0.014428011496062966 0.014428011496062966 250 0.25 0.012692500000000074 76
5 5 4 5 4 2 4 1 5  246.0 0.03017604299212614 0.03017604299212614 246 0.246 0.01248942000000007 59
2 1 1 6 4 6 6 1 2  232.0 0.0852941532283468 0.0852941532283468 232 0.232 0.011778640000000064 57
1 5 5 1 1 1 7 3 2  236.0 0.06954612173228364 0.06954612173228364 236 0.236 0.011981720000000067 58
5 1 3 7 2 0 5 6 1  257.0 -0.013131043622047275 -0.013131043622047275 257 0.257 0.013047890000000076 71
2 1 5 4 2 7 5 0 6  264.0 -0.04069009874015752 -0.04069009874015752 264 0.264 0.013403280000000078 90
3 7 5 6 2 5 1 2 5  231.0 0.08923116110236248 0.08923116110236248 231 0.231 0.011727870000000064 60
6 0 7 5 2 4 7 6 2  253.0 0.0026169878740157325 0.0026169878740157325 253 0.253 0.012844810000000075 66
1 7 1 4 0 3 1 1 3  283.0 -0.11549324834645708 -0.11549324834645708 283 0.283 0.014367910000000088 66
2 5 6 5 1 6 3 2 5  240.0 0.05379809023622061 0.05379809023622061 240 0.24 0.012184800000000068 61
1 2 1 7 6 3 3 3 0  266.0 -0.04856411448818915 -0.04856411448818915 266 0.266 0.01350482000000008 79
3 2 1 1 3 5 0 6 7  245.0 0.03411305086614188 0.03411305086614188 245 0.245 0.01243865000000007 74
3 0 1 4 1 0 6 5 7  283.0 -0.11549324834645708 -0.11549324834645708 283 0.283 0.014367910000000088 74
1 4 1 5 1 1 2 3 6  237.0 0.06560911385826791 0.06560911385826791 237 0.237 0.012032490000000068 58
4 5 4 6 0 2 3 5 7  254.0 -0.001320020000000005 -0.001320020000000005 254 0.254 0.012895580000000075 73
7 1 1 6 3 0 0 3 6  300.0 -0.182422382204725 -0.182422382204725 300 0.3 0.015231000000000095 84
2 6 2 2 4 5 5 1 7  235.0 0.07348312960629938 0.07348312960629938 235 0.235 0.011930950000000067 59
2 4 6 4 0 3 6 4 4  270.0 -0.06431214598425217 -0.06431214598425217 270 0.27 0.013707900000000082 64
7 3 5 1 5 5 4 1 2  234.0 0.07742013748031515 0.07742013748031515 234 0.234 0.011880180000000067 63
3 3 7 7 7 6 6 7 6  236.0 0.0695461217322836 0.0695461217322836 236 0.236 0.011981720000000067 58
3 6 2 0 5 5 5 5 6  259.0 -0.021005059370078766 -0.021005059370078766 259 0.259 0.013149430000000076 74
6 3 2 2 0 5 5 3 0  309.0 -0.21785545307086684 -0.21785545307086684 309 0.309 0.0156879300000001 83
5 5 2 1 2 5 1 7 5  228.0 0.10104218472440979 0.10104218472440979 228 0.228 0.011575560000000063 62
5 5 1 1 2 2 3 0 1  271.0 -0.06824915385826791 -0.06824915385826791 271 0.271 0.013758670000000082 87
5 5 7 4 6 2 2 1 2  233.0 0.08135714535433088 0.08135714535433088 233 0.233 0.011829410000000066 59
2 1 6 3 5 1 1 5 2  240.0 0.05379809023622063 0.05379809023622063 240 0.24 0.012184800000000068 58
4 7 2 4 1 5 7 2 5  235.0 0.07348312960629941 0.07348312960629941 235 0.235 0.011930950000000067 63
1 7 1 1 0 7 4 5 2  253.0 0.0026169878740157013 0.0026169878740157013 253 0.253 0.012844810000000075 58
6 2 7 2 5 2 4 7 3  253.0 0.002616987874015708 0.002616987874015708 253 0.253 0.012844810000000075 56
4 7 6 5 2 2 0 5 1  265.0 -0.04462710661417327 -0.04462710661417327 265 0.265 0.013454050000000078 75
6 0 7 2 2 4 1 2 2  255.0 -0.005257027874015769 -0.005257027874015769 255 0.255 0.012946350000000075 75
3 2 5 6 2 2 2 4 1  242.0 0.045924074488189116 0.045924074488189116 242 0.242 0.01228634000000007 55
2 6 7 2 5 4 0 5 5  266.0 -0.04856411448818917 -0.04856411448818917 266 0.266 0.01350482000000008 67
6 6 5 1 6 1 5 4 2  233.0 0.08135714535433089 0.08135714535433089 233 0.233 0.011829410000000066 58
0 4 3 0 2 7 5 2 4  283.0 -0.11549324834645706 -0.11549324834645706 283 0.283 0.014367910000000088 64
3 1 5 6 1 6 6 5 5  240.0 0.05379809023622063 0.05379809023622063 240 0.24 0.012184800000000068 53
4 6 3 7 2 0 6 5 0  279.0 -0.09974521685039392 -0.09974521685039392 279 0.279 0.014164830000000085 81
5 7 5 2 4 2 2 7 1  229.0 0.097105176850394 0.097105176850394 229 0.229 0.011626330000000063 62
7 3 5 4 1 2 5 7 1  233.0 0.08135714535433088 0.08135714535433088 233 0.233 0.011829410000000066 59
3 7 5 2 2 7 5 1 7  229.0 0.09710517685039399 0.09710517685039399 229 0.229 0.011626330000000063 58
1 5 2 2 7 2 7 5 2  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 61
5 7 5 2 4 2 5 5 7  230.0 0.09316816897637825 0.09316816897637825 230 0.23 0.011677100000000063 59
7 5 4 7 2 3 2 1 5  241.0 0.049861082362204885 0.049861082362204885 241 0.241 0.012235570000000069 61
7 5 2 5 1 2 2 6 6  228.0 0.10104218472440973 0.10104218472440973 228 0.228 0.011575560000000063 62
7 7 7 6 7 7 7 5 7  234.0 0.0774201374803151 0.0774201374803151 234 0.234 0.011880180000000067 51
3 1 6 2 7 3 5 4 5  246.0 0.030176042992126128 0.030176042992126128 246 0.246 0.01248942000000007 60
5 1 2 3 5 5 6 2 5  232.0 0.08529415322834677 0.08529415322834677 232 0.232 0.011778640000000064 65
7 7 7 3 2 2 2 1 2  238.0 0.061672105984252136 0.061672105984252136 238 0.238 0.012083260000000068 59
5 6 5 2 7 5 0 5 5  258.0 -0.01706805149606301 -0.01706805149606301 258 0.258 0.013098660000000076 71
5 6 1 1 5 5 3 2 5  240.0 0.05379809023622065 0.05379809023622065 240 0.24 0.012184800000000068 61
2 2 1 7 0 5 5 5 2  250.0 0.014428011496062994 0.014428011496062994 250 0.25 0.012692500000000074 79
2 7 2 6 5 7 3 4 4  246.0 0.03017604299212612 0.03017604299212612 246 0.246 0.01248942000000007 59
1 0 6 5 7 6 2 5 5  244.0 0.03805005874015761 0.03805005874015761 244 0.244 0.01238788000000007 62
2 1 3 5 7 5 7 5 5  228.0 0.10104218472440978 0.10104218472440978 228 0.228 0.011575560000000063 65
5 1 3 7 2 2 1 7 5  230.0 0.09316816897637825 0.09316816897637825 230 0.23 0.011677100000000063 58
1 5 7 5 1 4 1 7 6  237.0 0.06560911385826787 0.06560911385826787 237 0.237 0.012032490000000068 60
5 2 2 5 2 1 2 1 2  240.0 0.05379809023622065 0.05379809023622065 240 0.24 0.012184800000000068 62
5 2 7 7 6 6 6 5 7  228.0 0.10104218472440975 0.10104218472440975 228 0.228 0.011575560000000063 62
7 6 2 2 3 3 2 6 5  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 59
5 4 0 0 5 5 5 2 6  270.0 -0.06431214598425218 -0.06431214598425218 270 0.27 0.013707900000000082 84
5 7 3 5 2 5 7 2 7  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 56
5 2 7 1 5 5 6 5 3  244.0 0.038050058740157607 0.038050058740157607 244 0.244 0.01238788000000007 62
3 2 7 2 6 5 2 7 1  229.0 0.09710517685039399 0.09710517685039399 229 0.229 0.011626330000000063 63
2 7 5 5 7 3 5 3 7  232.0 0.08529415322834677 0.08529415322834677 232 0.232 0.011778640000000064 57
2 2 5 2 2 2 7 2 5  228.0 0.10104218472440978 0.10104218472440978 228 0.228 0.011575560000000063 53
2 5 2 2 2 7 7 2 2  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 61
2 2 4 5 2 5 6 5 5  232.0 0.08529415322834676 0.08529415322834676 232 0.232 0.011778640000000064 55
2 7 7 7 2 5 2 2 2  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 56
3 5 7 7 1 7 2 2 5  231.0 0.0892311611023625 0.0892311611023625 231 0.231 0.011727870000000064 60
2 2 7 2 2 2 2 2 2  228.0 0.10104218472440975 0.10104218472440975 228 0.228 0.011575560000000063 53
5 7 2 1 5 2 2 0 5  264.0 -0.04069009874015755 -0.04069009874015755 264 0.264 0.013403280000000078 78
2 1 5 6 2 3 2 2 0  268.0 -0.056438130236220664 -0.056438130236220664 268 0.268 0.013606360000000081 70
2 2 2 7 5 2 2 2 2  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 53
7 2 7 5 2 2 1 2 1  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 57
2 2 7 5 2 5 1 5 2  228.0 0.10104218472440975 0.10104218472440975 228 0.228 0.011575560000000063 52
5 7 7 2 2 1 7 5 2  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 60
2 2 2 1 2 2 7 5 2  228.0 0.10104218472440978 0.10104218472440978 228 0.228 0.011575560000000063 62
7 7 2 2 5 2 2 7 2  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 59
1 7 7 2 5 6 7 5 2  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 59
5 7 2 7 2 2 2 2 2  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 52
2 7 2 7 7 7 2 7 7  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 61
1 5 2 5 1 2 5 2 7  228.0 0.10104218472440979 0.10104218472440979 228 0.228 0.011575560000000063 62
2 2 2 7 5 2 5 5 2  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 53
2 5 6 2 2 5 2 7 5  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 64
2 5 5 5 6 7 5 5 7  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 62
2 7 2 7 7 2 7 2 7  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 62
7 2 2 5 3 2 7 2 7  225.0 0.11285320834645701 0.11285320834645701 225 0.225 0.011423250000000062 59
5 5 7 2 7 5 2 2 2  226.0 0.10891620047244126 0.10891620047244126 226 0.226 0.011474020000000062 52
2 2 5 7 7 7 7 6 7  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 62
7 2 2 2 7 5 2 2 7  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 59
1 2 2 7 5 5 2 7 7  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 60
7 7 6 7 7 5 7 7 5  234.0 0.0774201374803151 0.0774201374803151 234 0.234 0.011880180000000067 53
5 5 2 2 2 7 5 1 2  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 52
5 7 2 2 1 7 6 7 2  227.0 0.10497919259842549 0.10497919259842549 227 0.227 0.011524790000000062 57
5 5 7 7 7 5 2 2 5  228.0 0.10104218472440975 0.10104218472440975 228 0.228 0.011575560000000063 56
7 2 7 2 5 5 7 1 5  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 56
2 5 5 6 7 2 2 7 2  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 62
2 2 2 5 7 2 1 7 2  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 53
5 6 7 7 2 5 2 5 5  228.0 0.10104218472440975 0.10104218472440975 228 0.228 0.011575560000000063 63
5 2 2 2 5 1 7 7 7  227.0 0.10497919259842553 0.10497919259842553 227 0.227 0.011524790000000062 54
5 2 7 2 7 5 7 2 2  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 56
7 2 2 2 2 7 2 2 5  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 52
5 2 2 7 2 2 2 5 2  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 53
2 7 7 5 5 7 2 2 7  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 61
5 2 7 2 5 5 2 2 7  228.0 0.10104218472440975 0.10104218472440975 228 0.228 0.011575560000000063 57
7 2 2 5 2 5 2 5 5  228.0 0.10104218472440973 0.10104218472440973 228 0.228 0.011575560000000063 61
2 2 2 2 1 7 2 7 7  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 54
5 7 7 2 7 2 2 2 2  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 59
2 5 5 1 5 2 1 5 5  240.0 0.05379809023622065 0.05379809023622065 240 0.24 0.012184800000000068 62
2 7 2 7 7 2 2 7 5  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 61
7 5 7 7 2 2 5 2 7  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 52
2 5 7 7 7 7 7 7 2  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 61
5 2 7 2 2 6 2 5 7  228.0 0.10104218472440975 0.10104218472440975 228 0.228 0.011575560000000063 63
7 2 2 7 7 6 3 7 5  230.0 0.09316816897637825 0.09316816897637825 230 0.23 0.011677100000000063 61
6 2 1 2 3 1 7 2 7  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 57
5 5 2 2 7 2 7 3 7  231.0 0.08923116110236251 0.08923116110236251 231 0.231 0.011727870000000064 55
2 7 7 2 7 2 5 2 7  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 61
1 1 2 4 2 2 7 7 7  231.0 0.08923116110236251 0.08923116110236251 231 0.231 0.011727870000000064 60
5 1 7 7 5 5 2 7 7  226.0 0.10891620047244126 0.10891620047244126 226 0.226 0.011474020000000062 58
2 5 5 1 7 7 5 2 5  227.0 0.10497919259842552 0.10497919259842552 227 0.227 0.011524790000000062 63
5 7 2 7 2 2 2 7 7  226.0 0.10891620047244124 0.10891620047244124 226 0.226 0.011474020000000062 52
2 5 5 7 5 6 5 7 5  228.0 0.10104218472440976 0.10104218472440976 228 0.228 0.011575560000000063 63
5 2 7 7 7 7 7 2 7  227.0 0.1049791925984255 0.1049791925984255 227 0.227 0.011524790000000062 61
7 5 1 7 5 7 5 7 7  232.0 0.08529415322834674 0.08529415322834674 232 0.232 0.011778640000000064 54
