1 5 3 6 6 1 6 0 0  697.0 0.2654511157376927 0.2654511157376927 697 0.697 0.03538669000000008 237
2 0 2 7 6 5 6 6 6  879.0 0.06660103820728516 0.06660103820728516 879 0.8834621500000001 0.045240013593749455 257
6 6 5 6 2 5 6 2 6  674.0 0.2890166895081834 0.2890166895081834 674 0.674 0.034218980000000156 247
3 7 5 6 0 7 5 0 6  655.0 0.30848390262293646 0.30848390262293646 655 0.655 0.03325435000000022 232
4 1 2 6 6 6 0 1 6  939.0 -0.9777765484944421 -0.9777765484944421 939 1.2978843499999864 0.09699051046875098 384
7 5 5 1 6 3 2 6 6  635.0 0.32897570590162506 0.32897570590162506 635 0.635 0.03223895000000024 236
1 1 6 0 0 0 0 3 4  900.0 -0.5948624560003699 -0.5948624560003699 900 1.1352190499999952 0.07801653515624943 333
3 4 1 2 2 5 2 5 3  801.0 -0.4085731655810082 -0.4085731655810082 801 1.0056214499999967 0.06878561765624877 329
5 3 5 6 7 1 3 7 7  652.0 0.3115576731147397 0.3115576731147397 652 0.652 0.03310204000000023 247
4 2 1 7 6 1 7 7 1  862.0 -0.4162710657917409 -0.4162710657917409 862 1.0468604999999958 0.06916706031249889 316
1 6 6 4 5 2 1 0 1  1139.0 -1.2021404876581858 -1.2021404876581858 1139 1.504896299999986 0.10810808468750183 397
7 0 4 6 5 3 6 6 0  807.0 0.014857043396431503 0.014857043396431503 807 0.8567210999999993 0.047804007187499324 269
4 1 3 6 3 6 7 4 5  924.0 -0.9305871219642273 -0.9305871219642273 924 1.2714102499999878 0.09465220265625056 377
3 6 5 3 0 6 4 4 1  819.0 -0.4517651239205316 -0.4517651239205316 819 1.0325457499999955 0.0709258448437488 327
4 2 6 5 6 5 0 1 1  967.0 -0.870343728446728 -0.870343728446728 967 1.2768006999999904 0.09166705093750037 372
1 5 7 1 6 5 5 3 4  782.0 -0.36966004608941294 -0.36966004608941294 782 0.9796094999999978 0.06685741343749863 304
3 5 3 5 7 3 0 1 5  664.0 0.2992625911475272 0.2992625911475272 664 0.664 0.03371128000000019 228
1 5 6 2 1 5 4 1 7  830.0 0.1291806239344202 0.1291806239344202 830 0.83 0.04213909999999966 250
2 5 1 6 1 5 1 6 5  618.0 0.34639373868851053 0.34639373868851053 618 0.618 0.031375860000000234 237
2 2 4 5 4 5 3 2 4  723.0 0.23881177147539878 0.23881177147539878 723 0.723 0.03670671 251
3 5 4 1 6 6 5 7 1  775.0 -0.3359707698825445 -0.3359707698825445 775 0.9630477499999979 0.06518805859374849 320
1 1 7 2 2 1 4 4 2  838.0 0.12098390262294519 0.12098390262294519 838 0.838 0.042545259999999634 253
1 2 7 3 5 4 5 6 4  688.0 0.2746724272131021 0.2746724272131021 688 0.688 0.03492976000000011 253
1 3 5 3 6 5 2 2 5  642.0 0.32180357475408383 0.32180357475408383 642 0.642 0.03259434000000024 234
5 1 5 1 5 1 6 6 3  645.0 0.31872980426228037 0.31872980426228037 645 0.645 0.032746650000000245 240
3 2 4 0 2 1 1 5 3  675.0 0.28799209934424885 0.28799209934424885 675 0.675 0.034269750000000154 254
0 1 7 4 3 2 5 5 7  1010.0 -0.06938808293873992 -0.06938808293873992 1010 1.0150995999999997 0.05197848124999903 257
3 6 1 5 3 7 2 1 5  586.0 0.3791806239344131 0.3791806239344131 586 0.586 0.02975122000000022 251
7 7 1 6 0 4 1 5 4  821.0 -0.26112305015063814 -0.26112305015063814 821 0.9650636999999975 0.061479240312498594 304
2 7 1 7 6 7 7 3 6  633.0 0.3310248862294938 0.3310248862294938 633 0.633 0.03213741000000024 233
1 1 5 6 4 1 4 0 0  1626.0 -2.6716434066654093 -2.6716434066654093 1626 2.341856349999974 0.18092418796874543 591
7 6 5 2 7 7 7 7 0  725.0 0.23676259114753012 0.23676259114753012 725 0.725 0.036808249999999994 256
4 0 3 1 5 3 6 5 4  965.0 -0.8612233094363726 -0.8612233094363726 965 1.2722508999999915 0.09121512031250037 381
0 7 5 6 5 3 2 1 2  1034.0 -0.07983576950819292 -0.07983576950819292 1034 1.034 0.052496179999999004 252
5 5 3 5 4 5 5 3 5  815.0 -0.2620467478495172 -0.2620467478495172 815 0.9616134999999981 0.061525010937498556 298
1 5 1 2 6 6 3 4 7  595.0 0.3611202641058947 0.3611202641058947 595 0.59818725 0.030646138281250224 257
3 6 5 6 7 2 2 5 0  604.0 0.30947152053556604 0.30947152053556604 604 0.62248605 0.0332054120312502 259
6 6 3 7 1 6 5 7 2  631.0 0.33307406655736277 0.33307406655736277 631 0.631 0.03203587000000024 242
4 5 6 5 5 1 6 7 6  876.0 -0.5667366727247001 -0.5667366727247001 876 1.109944149999994 0.07662285984374943 353
6 5 0 5 1 5 6 2 3  685.0 0.2777461977049052 0.2777461977049052 685 0.685 0.03477745000000012 252
2 3 2 7 6 5 1 3 5  655.0 0.30848390262293646 0.30848390262293646 655 0.655 0.03325435000000022 242
0 3 3 4 5 7 5 5 5  1074.0 -0.12081937606556811 -0.12081937606556811 1074 1.074 0.05452697999999888 252
7 4 2 5 2 5 7 5 6  725.0 -0.05139038516378114 -0.05139038516378114 725 0.828904349999998 0.05108666796874922 291
6 5 2 3 5 1 5 6 2  633.0 0.3310248862294939 0.3310248862294939 633 0.633 0.03213741000000024 249
0 2 1 1 5 3 7 7 7  962.0 -0.0060652777049177205 -0.0060652777049177205 962 0.962 0.04884073999999924 244
3 3 5 5 3 2 5 2 6  584.0 0.38122980426228203 0.38122980426228203 584 0.584 0.02964968000000022 244
7 0 2 4 3 6 3 5 6  751.0 -0.07802972942607211 -0.07802972942607211 751 0.8549043499999991 0.052406687968749 278
5 5 1 6 6 1 5 3 6  645.0 0.31872980426228037 0.31872980426228037 645 0.645 0.032746650000000245 240
5 2 2 2 6 3 2 7 5  576.0 0.38942652557375756 0.38942652557375756 576 0.576 0.029243520000000214 250
3 1 6 1 2 3 1 5 6  645.0 0.3187298042622804 0.3187298042622804 645 0.645 0.032746650000000245 249
3 2 3 2 6 3 5 1 7  641.0 0.32282816491801825 0.32282816491801825 641 0.641 0.032543570000000244 251
1 6 5 3 7 2 3 2 4  789.0 -0.4068849416375263 -0.4068849416375263 789 0.997446149999997 0.06870196359374885 322
2 6 3 5 4 3 4 6 3  665.0 0.29823800098359265 0.29823800098359265 665 0.665 0.03376205000000018 251
6 3 2 7 1 1 3 1 5  633.0 0.3310248862294939 0.3310248862294939 633 0.633 0.03213741000000024 248
2 7 3 5 7 3 1 2 6  549.0 0.4170904599999878 0.4170904599999878 549 0.549 0.027872730000000203 230
7 3 3 3 7 5 5 2 5  636.0 0.3279511157376904 0.3279511157376904 636 0.636 0.032289720000000244 218
3 5 5 3 3 5 2 3 7  626.0 0.338197017377035 0.338197017377035 626 0.626 0.03178202000000024 249
5 3 4 7 3 5 1 7 5  750.0 0.01845658295142355 0.01845658295142355 750 0.8194820499999987 0.04762564453124935 281
2 7 7 3 6 5 7 5 7  633.0 0.3310248862294939 0.3310248862294939 633 0.633 0.03213741000000024 248
0 3 3 5 3 3 6 2 2  1021.0 -0.06651609737704597 -0.06651609737704597 1021 1.021 0.05183616999999904 251
2 2 7 5 3 5 3 5 5  634.0 0.33000029606555936 0.33000029606555936 634 0.634 0.03218818000000024 232
3 6 5 1 5 3 5 7 2  586.0 0.37918062393441315 0.37918062393441315 586 0.586 0.02975122000000022 248
5 3 7 3 0 3 5 3 3  662.0 0.30131177147539595 0.30131177147539595 662 0.662 0.03360974000000019 244
7 1 6 3 5 4 2 5 5  784.0 -0.32928179432235916 -0.32928179432235916 784 0.9663106999999972 0.06485660968749846 324
5 2 3 2 5 3 7 1 1  659.0 0.304385541967199 0.304385541967199 659 0.659 0.033457430000000205 234
3 5 0 3 5 3 6 5 7  656.0 0.3074593124590022 0.3074593124590022 656 0.656 0.033305120000000216 239
2 3 2 3 5 5 7 1 3  657.0 0.30643472229506785 0.30643472229506785 657 0.657 0.03335589000000021 246
5 2 5 5 4 5 3 6 3  725.0 0.13246182058086062 0.13246182058086062 725 0.7626095499999996 0.04197651171874964 263
5 3 0 3 3 3 2 3 3  649.0 0.31463144360654277 0.31463144360654277 649 0.649 0.03294973000000024 241
5 2 3 7 7 5 2 3 2  601.0 0.3638117714753962 0.3638117714753962 601 0.601 0.030512770000000227 243
3 2 2 5 3 5 3 7 5  643.0 0.3207789845901494 0.3207789845901494 643 0.643 0.03264511000000024 243
7 3 6 7 7 7 0 5 1  654.0 0.309508492786871 0.309508492786871 654 0.654 0.03320358000000022 229
5 7 5 2 3 2 7 5 6  637.0 0.3269265255737561 0.3269265255737561 637 0.637 0.03234049000000024 229
6 3 1 2 2 5 6 3 5  633.0 0.3310248862294938 0.3310248862294938 633 0.633 0.03213741000000024 248
5 5 3 3 3 6 2 1 5  584.0 0.3812298042622819 0.3812298042622819 584 0.584 0.02964968000000022 250
5 1 5 3 5 3 6 6 7  656.0 0.30745931245900215 0.30745931245900215 656 0.656 0.033305120000000216 230
5 6 5 6 7 1 5 5 3  642.0 0.32180357475408383 0.32180357475408383 642 0.642 0.03259434000000024 247
2 7 7 7 1 3 7 5 6  585.0 0.38020521409834745 0.38020521409834745 585 0.585 0.02970045000000022 249
7 2 3 5 5 5 7 5 2  637.0 0.3269265255737561 0.3269265255737561 637 0.637 0.03234049000000024 229
7 5 7 3 5 5 3 3 5  645.0 0.3187298042622805 0.3187298042622805 645 0.645 0.032746650000000245 251
7 2 3 2 5 5 7 2 3  634.0 0.3300002960655595 0.3300002960655595 634 0.634 0.03218818000000024 247
6 5 5 7 5 7 5 7 3  642.0 0.32180357475408383 0.32180357475408383 642 0.642 0.03259434000000024 247
5 6 3 2 3 5 2 7 5  633.0 0.3310248862294939 0.3310248862294939 633 0.633 0.03213741000000024 248
3 2 6 5 2 5 3 7 7  591.0 0.37405767311474075 0.37405767311474075 591 0.591 0.03000507000000022 233
7 2 3 7 3 3 3 5 6  617.0 0.34741832885244506 0.34741832885244506 617 0.617 0.031325090000000236 229
7 3 6 7 3 1 4 2 4  792.0 -0.4205655701530592 -0.4205655701530592 792 1.0042708499999966 0.06937985953124884 315
6 3 2 3 2 1 5 3 7  633.0 0.3310248862294939 0.3310248862294939 633 0.633 0.03213741000000024 248
7 2 5 5 2 4 6 2 5  756.0 -0.04426086749207181 -0.04426086749207181 756 0.8458804499999988 0.05073338953124917 287
5 3 2 2 3 5 2 6 3  642.0 0.32180357475408383 0.32180357475408383 642 0.642 0.03259434000000024 250
2 3 2 6 3 2 7 3 7  641.0 0.2185273943513476 0.2185273943513476 641 0.6786095499999995 0.03771183171874994 269
2 6 3 6 5 6 2 3 2  573.0 0.3925002960655609 0.3925002960655609 573 0.573 0.029091210000000214 251
7 6 4 3 5 5 2 2 2  768.0 -0.37652949984179096 -0.37652949984179096 768 0.9732588999999969 0.06719780531249865 323
6 4 5 2 3 2 5 7 3  742.0 -0.14482423378738962 -0.14482423378738962 742 0.8733146999999983 0.055716457187498854 307
3 5 5 5 7 5 2 7 3  642.0 0.3218035747540838 0.3218035747540838 642 0.642 0.03259434000000024 242
2 5 7 2 3 5 2 2 3  633.0 0.33102488622949366 0.33102488622949366 633 0.633 0.03213741000000024 250
7 3 6 7 2 3 5 2 2  636.0 0.3279511157376904 0.3279511157376904 636 0.636 0.032289720000000244 240
2 5 2 2 6 7 7 5 2  614.0 0.3504920993442484 0.3504920993442484 614 0.614 0.031172780000000233 247
5 5 7 2 5 3 2 3 5  634.0 0.33000029606555936 0.33000029606555936 634 0.634 0.03218818000000024 247
3 2 5 3 2 1 3 3 5  568.0 0.3976232468852332 0.3976232468852332 568 0.568 0.02883736000000021 249
4 7 2 7 5 6 3 5 3  860.0 -0.7412666745288938 -0.7412666745288938 860 1.1627887499999896 0.08527108671874983 372
2 5 5 3 3 3 3 5 2  576.0 0.38942652557375756 0.38942652557375756 576 0.576 0.029243520000000214 251
3 2 7 2 2 5 3 5 2  583.0 0.38225439442621645 0.38225439442621645 583 0.583 0.029598910000000218 249
7 5 7 5 2 6 2 5 7  679.0 0.2838937386885115 0.2838937386885115 679 0.679 0.03447283000000014 247
2 5 2 2 2 5 3 5 2  649.0 0.3146314436065427 0.3146314436065427 649 0.649 0.03294973000000024 254
5 7 5 5 5 2 3 5 3  634.0 0.3300002960655595 0.3300002960655595 634 0.634 0.03218818000000024 247
3 3 5 5 5 2 5 5 5  586.0 0.3791806239344131 0.3791806239344131 586 0.586 0.02975122000000022 247
2 5 2 5 3 3 6 3 6  657.0 0.30643472229506774 0.30643472229506774 657 0.657 0.03335589000000021 247
7 7 2 7 5 2 2 5 3  635.0 0.32897570590162506 0.32897570590162506 635 0.635 0.03223895000000024 238
7 5 5 7 3 2 7 5 3  635.0 0.32897570590162506 0.32897570590162506 635 0.635 0.03223895000000024 220
5 3 2 5 3 5 5 3 5  585.0 0.3802052140983475 0.3802052140983475 585 0.585 0.02970045000000022 247
3 5 5 5 3 1 7 3 5  652.0 0.3115576731147397 0.3115576731147397 652 0.652 0.03310204000000023 250
3 3 5 7 3 7 5 2 2  584.0 0.3812298042622819 0.3812298042622819 584 0.584 0.02964968000000022 250
7 2 6 7 3 3 3 5 5  632.0 0.3320494763934283 0.3320494763934283 632 0.632 0.03208664000000024 231
2 5 3 3 5 6 7 3 3  598.0 0.3668855419671995 0.3668855419671995 598 0.598 0.030360460000000224 244
5 6 3 5 7 3 2 3 3  616.0 0.34844291901637947 0.34844291901637947 616 0.616 0.03127432000000023 225
