3 4 2 6 7 7 1 0 2  782.0 -0.21311475409836061 -0.21311475409836061 782 0.9063027499999976 0.056783682968748875 305
5 7 1 1 0 7 7 2 2  672.0 -0.10040983606557374 -0.10040983606557374 672 0.672 0.034117440000000165 238
5 0 3 2 4 4 3 2 5  1105.0 -0.5440573770491802 -0.5440573770491802 1105 1.105 0.05610084999999878 255
1 2 0 6 0 0 0 1 5  1550.0 -1.0 -1.0 1550 1.9949400999999745 0.13983666406250134 450
2 0 5 0 1 5 2 7 4  1073.0 -0.5112704918032787 -0.5112704918032787 1073 1.3069441499999885 0.08662454984375072 287
7 2 5 2 2 2 5 1 0  728.0 -0.15778688524590162 -0.15778688524590162 728 0.728 0.03696055999999998 255
2 7 3 3 1 2 2 3 0  573.0 0.0010245901639344274 0.0010245901639344274 573 0.573 0.029091210000000214 249
0 1 3 1 0 1 2 5 2  1286.0 -0.7295081967213115 -0.7295081967213115 1286 1.6678325499999813 0.1177612160937524 379
7 2 3 7 3 0 1 4 2  788.0 -0.21926229508196718 -0.21926229508196718 788 0.9588365999999969 0.06348293187499851 310
3 2 0 7 5 4 4 2 3  667.0 -0.09528688524590159 -0.09528688524590159 667 0.667 0.03386359000000018 243
4 7 6 5 6 4 0 2 2  928.0 -0.3627049180327868 -0.3627049180327868 928 1.2212269999999918 0.08740948187500011 366
2 6 3 5 0 0 0 4 0  670.0 -0.09836065573770485 -0.09836065573770485 670 0.67 0.03401590000000017 252
7 4 2 1 4 0 7 7 2  751.0 -0.18135245901639344 -0.18135245901639344 751 0.9301234499999971 0.06274321140624858 313
2 3 3 5 4 7 1 3 2  621.0 -0.048155737704918 -0.048155737704918 621 0.621 0.03152817000000024 252
0 4 1 6 5 1 0 0 7  1244.0 -0.6864754098360657 -0.6864754098360657 1244 1.6634420999999773 0.12079713781250173 310
3 4 0 1 1 7 3 6 4  865.0 -0.298155737704918 -0.298155737704918 865 1.107868449999995 0.07729075703124945 336
4 6 7 6 7 2 3 4 4  897.0 -0.3309426229508196 -0.3309426229508196 897 1.1978763999999917 0.0868867837500002 373
2 1 1 1 5 4 4 5 7  653.0 -0.08094262295081962 -0.08094262295081962 653 0.653 0.03315281000000022 255
2 7 4 1 4 6 0 4 7  638.0 -0.06557377049180323 -0.06557377049180323 638 0.638 0.03239126000000024 254
7 5 5 0 3 5 4 4 2  812.0 -0.2438524590163934 -0.2438524590163934 812 0.964350549999998 0.06216107984374853 301
5 0 2 3 0 7 6 4 7  999.0 -0.43545081967213106 -0.43545081967213106 999 0.999 0.050719229999999116 252
2 6 1 2 4 7 2 1 3  606.0 -0.03278688524590159 -0.03278688524590159 606 0.606 0.030766620000000227 242
1 2 3 1 1 3 1 4 0  705.0 -0.13422131147540983 -0.13422131147540983 705 0.71711155 0.037457205468749935 258
0 1 3 7 0 0 2 1 7  1021.0 -0.4579918032786884 -0.4579918032786884 1021 1.0382111499999984 0.05420130671874901 261
2 5 7 0 5 2 5 1 0  659.0 -0.08709016393442617 -0.08709016393442617 659 0.659 0.033457430000000205 243
2 1 6 2 2 2 6 2 3  633.0 -0.06045081967213112 -0.06045081967213112 633 0.633 0.03213741000000024 251
1 0 5 6 2 3 1 5 2  973.0 -0.4088114754098361 -0.4088114754098361 973 0.9991354499999998 0.05299071390624894 262
7 5 3 4 2 2 2 1 1  782.0 -0.21311475409836064 -0.21311475409836064 782 0.977697149999997 0.06659462046874856 319
4 1 1 6 4 3 6 7 4  917.0 -0.35143442622950816 -0.35143442622950816 917 1.1630556999999953 0.08036878531249973 363
0 4 2 1 5 3 6 1 0  1212.0 -0.6536885245901639 -0.6536885245901639 1212 1.5122389499999895 0.10279173609375061 342
2 2 2 3 4 3 2 2 3  658.0 -0.08606557377049176 -0.08606557377049176 658 0.658 0.033406660000000206 246
1 0 5 1 7 2 7 6 0  1276.0 -0.7192622950819673 -0.7192622950819673 1276 1.6750436999999792 0.11961865281250213 431
7 3 1 2 1 5 3 2 0  641.0 -0.06864754098360654 -0.06864754098360654 641 0.641 0.032543570000000244 252
2 0 2 5 2 1 2 4 7  918.0 -0.3524590163934426 -0.3524590163934426 918 0.9434979999999996 0.050110766249999154 263
1 1 7 1 4 2 4 0 2  1107.0 -0.546106557377049 -0.546106557377049 1107 1.4773584499999848 0.10709662828125179 379
1 7 4 0 2 3 2 0 5  1416.0 -0.8627049180327868 -0.8627049180327868 1416 1.9183105999999743 0.14091727312500166 461
2 2 0 2 2 6 5 1 7  879.0 -0.3125 -0.3125 879 0.879 0.0446268299999995 256
0 2 7 6 0 2 2 0 2  1708.0 -1.1618852459016393 -1.1618852459016393 1708 2.498438000000004 0.19533625374999722 663
7 4 2 7 2 1 7 7 7  724.0 -0.1536885245901639 -0.1536885245901639 724 0.8126055499999989 0.04893355421874927 281
2 7 7 7 2 2 2 7 4  637.0 -0.0645491803278688 -0.0645491803278688 637 0.637 0.03234049000000024 252
2 2 6 2 2 3 7 2 6  576.0 -0.002049180327868827 -0.002049180327868827 576 0.576 0.029243520000000214 251
2 7 7 0 6 2 2 2 5  623.0 -0.05020491803278683 -0.05020491803278683 623 0.623 0.031629710000000234 249
2 0 2 2 6 7 3 7 7  795.0 -0.22643442622950818 -0.22643442622950818 795 0.795 0.04036214999999977 247
1 2 2 2 2 2 2 2 6  631.0 -0.05840163934426226 -0.05840163934426226 631 0.631 0.03203587000000024 250
2 2 2 2 6 7 2 2 2  616.0 -0.04303278688524585 -0.04303278688524585 616 0.616 0.03127432000000023 248
2 3 2 7 2 2 2 6 7  605.0 -0.031762295081967165 -0.031762295081967165 605 0.605 0.03071585000000023 229
2 7 6 3 2 2 4 5 4  663.0 -0.09118852459016387 -0.09118852459016387 663 0.663 0.03366051000000019 251
2 2 7 2 7 2 2 2 1  617.0 -0.04405737704918028 -0.04405737704918028 617 0.617 0.031325090000000236 249
2 7 2 2 2 7 2 2 2  617.0 -0.044057377049180294 -0.044057377049180294 617 0.617 0.031325090000000236 249
2 7 7 2 2 7 2 7 3  633.0 -0.06045081967213109 -0.06045081967213109 633 0.633 0.03213741000000024 230
