2 5 0 0 5 2 0 5 3  5178.0 16.606299212598426 16.606299212598426 5178 6.430589250000136 0.4350164545312834 531
4 7 7 0 5 7 1 2 6  4004.0 16.635170603674542 16.635170603674542 4004 5.16097175000006 0.3622728260937664 520
5 6 6 3 3 0 4 0 4  4921.0 16.587926509186353 16.587926509186353 4921 5.963868200000055 0.39314893562503056 538
5 6 1 0 3 1 6 4 0  5272.0 16.233595800524935 16.233595800524935 5272 7.30355315000031 0.5468331704688015 673
4 1 3 1 7 0 2 4 3  4339.0 16.700787401574804 16.700787401574804 4339 5.210394150000003 0.34003702609376224 495
6 5 2 2 3 6 4 5 1  3970.0 16.548556430446194 16.548556430446194 3970 4.744501749999989 0.3079880523437479 553
2 7 2 5 2 1 1 2 0  4461.0 16.490813648293962 16.490813648293962 4461 5.784346200000124 0.40833770437502803 575
0 1 5 2 2 2 2 3 3  4604.0 16.77690288713911 16.77690288713911 4604 5.150932099999973 0.3089038690624944 466
0 1 3 7 4 6 5 3 5  4317.0 16.716535433070867 16.716535433070867 4317 5.037955949999989 0.3182470392187512 489
1 4 1 4 0 5 5 5 6  4490.0 16.6246719160105 16.6246719160105 4490 5.635497650000078 0.38537028828127806 524
4 1 6 1 6 3 4 1 1  3931.0 16.68241469816273 16.68241469816273 3931 4.758410100000001 0.31327862781249954 502
3 0 2 5 3 4 2 7 3  4256.0 16.711286089238847 16.711286089238847 4256 4.9871551499999835 0.3165516317187504 491
2 6 1 7 3 6 2 5 7  3639.0 16.95800524934383 16.95800524934383 3639 4.151509799999975 0.2551805456249783 397
5 7 0 4 1 6 4 3 2  4119.0 16.69028871391076 16.69028871391076 4119 5.015254700000023 0.33228393468751083 499
1 7 3 4 4 6 4 1 1  3939.0 16.64041994750656 16.64041994750656 3939 4.707127249999991 0.3055382057812474 518
2 4 1 1 0 4 3 1 5  4439.0 16.664041994750654 16.664041994750654 4439 5.217326449999995 0.33232476828125773 509
0 5 6 0 3 5 0 7 7  5088.0 16.650918635170605 16.650918635170605 5088 6.063935950000059 0.3924297717187825 514
1 6 7 1 5 7 6 2 7  3617.0 16.976377952755904 16.976377952755904 3617 4.193254799999977 0.26282337124997807 390
5 4 6 2 1 0 1 2 7  4012.0 16.706036745406823 16.706036745406823 4012 4.946501700000033 0.33210740406250877 493
2 0 3 4 0 3 1 2 2  4459.0 16.622047244094485 16.622047244094485 4459 5.322107300000012 0.34499065656251293 525
1 5 4 4 1 6 0 4 2  4135.0 16.650918635170605 16.650918635170605 4135 5.019143150000007 0.3314318992187597 514
7 6 7 4 6 5 3 5 4  3905.0 16.706036745406823 16.706036745406823 3905 4.594720899999981 0.29303751406249084 493
4 6 5 6 2 6 5 1 6  3669.0 16.69291338582677 16.69291338582677 3669 4.637924000000054 0.3194235675000014 498
1 4 2 1 7 2 4 7 0  4445.0 16.477690288713912 16.477690288713912 4445 5.849302350000126 0.41865028671878673 580
5 3 0 2 6 4 2 6 3  4266.0 16.68241469816273 16.68241469816273 4266 4.995880249999991 0.3168841364062512 502
4 3 0 7 4 5 2 6 5  4026.0 16.711286089238843 16.711286089238843 4026 4.874445949999992 0.3209925004687543 491
2 5 7 1 0 4 4 1 0  4902.0 16.367454068241468 16.367454068241468 4902 6.254668900000127 0.4347567665625423 622
2 2 0 5 5 1 4 3 7  4095.0 16.68503937007874 16.68503937007874 4095 5.047350300000035 0.33877404843750275 501
3 7 4 3 0 2 1 4 2  4115.0 16.729658792650916 16.729658792650916 4115 4.89013919999999 0.31543730000000114 484
7 1 0 5 5 1 1 5 0  5432.0 15.839895013123357 15.839895013123357 5432 7.741481350000382 0.5931489485938065 823
7 4 6 3 4 0 4 4 4  4755.0 16.482939632545932 16.482939632545932 4755 6.2166728500001485 0.4422727757812894 578
2 1 5 3 6 6 1 1 1  3716.0 16.88713910761155 16.88713910761155 3716 4.501338400000019 0.29658163249999564 424
1 2 6 1 6 0 3 6 6  4290.0 16.53543307086614 16.53543307086614 4290 5.277410050000042 0.35349206953125994 558
4 7 7 3 3 6 2 6 7  3606.0 16.603674540682412 16.603674540682412 3606 4.574924000000019 0.31622505750000396 532
2 2 5 6 1 2 2 3 4  3953.0 16.698162729658794 16.698162729658794 3953 4.694354349999986 0.3025698842187457 496
7 7 0 2 5 7 0 7 1  4180.0 16.614173228346456 16.614173228346456 4180 5.516732650000137 0.39591088515627104 528
2 5 4 6 0 6 3 3 5  4501.0 16.58530183727034 16.58530183727034 4501 5.46546185000002 0.3610510239062723 539
