5 0 3 3 3 1 5 3 5  4910.0 -0.08451077438616061 -0.08451077438616061 4910 5.577410150000004 0.3409954460937596 488
3 3 5 5 6 6 2 7 1  3631.0 0.03886894745661884 0.03886894745661884 3631 4.476258700000026 0.30050036218749715 420
4 1 2 4 7 5 6 7 3  3855.0 0.0447869077637922 0.0447869077637922 3855 4.603366299999982 0.29855799843749375 502
3 2 0 7 4 3 3 7 0  4678.0 -0.30377163774274507 -0.30377163774274507 4678 5.954812350000097 0.41296016546878594 591
1 7 3 3 5 5 0 5 4  4443.0 -0.10808668337639527 -0.10808668337639527 4443 5.339254700000025 0.34873341468751706 504
2 7 7 2 4 4 3 7 4  3943.0 0.027438139450144394 0.027438139450144394 3943 4.700290599999987 0.3042521256249963 515
1 5 1 6 2 0 7 1 1  4103.0 -0.09659494733246539 -0.09659494733246539 4103 5.097422000000062 0.3449616537500061 468
5 6 2 5 0 3 2 6 5  4095.0 -0.023296889240035284 -0.023296889240035284 4095 4.9173105000000055 0.3209041265625045 549
1 7 7 3 2 7 2 0 7  3891.0 -0.06913951420737119 -0.06913951420737119 3891 4.8981710000000716 0.33595036687500224 485
4 3 4 5 0 4 4 2 1  4254.0 -0.10554029092162204 -0.10554029092162204 4254 5.213999700000031 0.3478976503125113 523
0 4 7 0 0 5 6 6 7  4691.0 -0.19528966034250175 -0.19528966034250175 4691 5.703908050000038 0.3773547457812783 537
7 0 3 1 5 6 2 7 7  3893.0 0.0383750896851333 0.0383750896851333 3893 4.642641199999994 0.3006624537499952 512
4 2 2 2 0 7 4 2 4  4202.0 -0.02783810507670253 -0.02783810507670253 4202 4.995625249999994 0.3223946220312544 515
2 6 2 5 1 0 3 3 0  5040.0 -0.29304490885053025 -0.29304490885053025 5040 6.1574498500000745 0.40943949140628894 646
1 6 6 6 0 0 3 5 6  5012.0 -0.6025775701282604 -0.6025775701282604 5012 6.879091050000271 0.5110327751562956 635
5 6 3 3 7 5 7 6 7  3745.0 0.03297804448424177 0.03297804448424177 3745 4.562210900000023 0.30243384531249595 423
5 3 3 2 3 7 7 5 4  3872.0 0.03548498443520871 0.03548498443520871 3872 4.636302549999986 0.3016110298437455 530
3 2 1 0 5 5 1 3 1  4534.0 -0.008467456046352115 -0.008467456046352115 4534 5.158700999999987 0.31603688312499906 491
6 6 5 6 1 2 1 6 1  3672.0 0.1051212148265304 0.1051212148265304 3672 4.343872299999989 0.278755369687486 398
7 7 6 0 1 1 5 1 0  5199.0 -0.5837302012693057 -0.5837302012693057 5199 6.951987500000229 0.5048467846875523 793
4 4 4 2 3 6 7 3 4  3870.0 0.032858553474488475 0.032858553474488475 3870 4.6413144999999805 0.3024730640624958 497
5 5 3 7 1 2 5 3 1  3868.0 0.12871491083905978 0.12871491083905978 3868 4.411107399999978 0.2710115631249804 512
1 2 3 4 2 2 3 3 5  3877.0 0.053127039385786515 0.053127039385786515 3877 4.597318499999992 0.29582064156249366 464
6 4 4 3 5 3 2 1 3  4026.0 0.03381542510304355 0.03381542510304355 4026 4.737394199999987 0.30215900437499515 512
5 5 1 3 5 1 3 3 3  4034.0 0.09716557194974232 0.09716557194974232 4034 4.591131299999969 0.28136653156248453 510
3 7 6 4 4 0 7 2 5  4008.0 -0.028521652207836166 -0.028521652207836166 4008 4.874932000000022 0.3226189725000001 488
4 5 2 0 2 3 6 7 7  4037.0 -0.06476755381557833 -0.06476755381557833 4037 4.979788550000028 0.3345154235937545 521
5 1 4 3 2 1 5 6 3  3805.0 0.0810785053996024 0.0810785053996024 3805 4.4851591499999754 0.2866465492187382 462
1 3 6 7 3 4 3 6 3  3834.0 0.08273112938045044 0.08273112938045044 3834 4.499497799999979 0.28610413312498806 482
6 5 5 7 3 2 7 4 4  3922.0 0.03922704059016754 0.03922704059016754 3922 4.658892199999981 0.3003828306249946 511
3 6 1 2 1 6 3 2 1  3649.0 0.1559186849482337 0.1559186849482337 3649 4.208043649999976 0.2620828745312277 510
0 3 3 5 1 7 5 7 6  4147.0 -0.04014792132298929 -0.04014792132298929 4147 4.990346350000036 0.32643488921875274 445
5 3 7 6 7 3 4 4 3  3889.0 0.07449033668082196 0.07449033668082196 3889 4.553860349999977 0.2888088854687388 473
3 6 3 5 3 5 2 7 6  3634.0 0.08244191115055854 0.08244191115055854 3634 4.374079450000025 0.286199058906241 409
3 3 5 7 6 7 5 4 7  3717.0 0.08828541475291926 0.08828541475291926 3717 4.412457949999984 0.2842811329687382 416
7 5 7 7 1 6 2 6 0  4556.0 -0.4215482533284311 -0.4215482533284311 4556 6.159186750000193 0.45161622546878744 655
1 6 5 5 7 1 1 5 3  3905.0 0.11551861126197133 0.11551861126197133 3905 4.465955999999969 0.2753427874999821 498
5 4 6 5 6 3 3 3 5  3903.0 0.09581115468385577 0.09581115468385577 3903 4.511764749999971 0.2818110717187353 486
5 1 7 7 6 5 2 2 7  3648.0 0.13899234448947384 0.13899234448947384 3648 4.247840449999986 0.2676383545312303 394
5 1 3 4 3 2 4 5 4  3881.0 0.06398461283793976 0.06398461283793976 3881 4.573908149999977 0.29225702234374046 473
3 4 5 3 3 0 5 6 5  4574.0 -0.35494091961319274 -0.35494091961319274 4574 6.011449750000156 0.4297546948437785 570
3 3 2 1 6 5 5 1 0  4459.0 -0.37291552375662507 -0.37291552375662507 4459 5.981868050000176 0.4356542307812778 592
4 1 6 2 1 5 3 1 2  3689.0 0.03843772106451321 0.03843772106451321 3689 4.513860299999991 0.3006418971874963 524
7 0 6 3 1 3 6 6 3  4495.0 -0.15189370901181173 -0.15189370901181173 4495 5.476673000000036 0.3631115406250234 598
6 1 5 2 5 1 5 3 3  4056.0 0.06467137670515774 0.06467137670515774 4056 4.682613349999975 0.2920316160937392 487
3 5 1 6 7 3 6 1 3  3862.0 0.11816670770418045 0.11816670770418045 3862 4.432517749999969 0.274473642343732 516
1 6 0 4 1 4 2 7 7  3923.0 -0.12906899048965265 -0.12906899048965265 3923 5.061485700000078 0.35562012406250704 491
3 4 7 4 7 6 7 1 3  3827.0 0.0803443421623608 0.0803443421623608 3827 4.500784649999973 0.2868875126562379 476
5 1 1 5 1 3 3 6 7  3740.0 0.11034919453041489 0.11034919453041489 3740 4.374262749999994 0.277039467968735 396
5 1 6 5 7 4 3 6 7  3717.0 -0.04435942480712841 -0.04435942480712841 3717 4.729270600000058 0.3278171681249984 459
5 5 5 4 3 7 4 6 3  3887.0 0.007009386579053943 0.007009386579053943 3887 4.713772649999987 0.31095715015625014 490
3 7 5 1 3 5 7 4 4  3892.0 0.06495198634567667 0.06495198634567667 3892 4.578533649999979 0.2919395157812405 487
3 4 1 7 5 7 6 5 3  3814.0 0.08075390307297765 0.08075390307297765 3814 4.491609349999979 0.2867530885937385 479
3 6 3 7 3 2 6 4 5  3864.0 0.07195208104016303 0.07195208104016303 3864 4.544159149999976 0.28964197921873935 496
2 3 5 3 6 3 6 1 3  3897.0 0.1012764130652842 0.1012764130652842 3897 4.49492809999997 0.2800172915624843 524
3 7 5 5 6 5 3 7 5  3763.0 0.06782534619213375 0.06782534619213375 3763 4.490330450000032 0.2909964357812431 395
2 4 0 6 3 6 6 7 5  4204.0 -0.10954923810185306 -0.10954923810185306 4204 5.192047500000025 0.34921344718751235 540
