2 2 7 2 2 2 5 3 3  3923.0 -957.8580489938759 -957.8580489938759 3923 4.508179099999976 0.2795853584374844 501
2 2 5 4 5 4 2 3 1  3839.0 -957.8396762904636 -957.8396762904636 3839 4.6122268499999866 0.30116198703124547 492
0 1 2 0 5 7 3 2 5  4439.0 -957.970909886264 -957.970909886264 4439 5.060513749999982 0.31077574484374687 488
2 2 5 3 0 5 2 1 6  3950.0 -957.8639545056868 -957.8639545056868 3950 4.814382200000031 0.3193239218750016 528
5 1 7 6 2 3 4 7 6  3646.0 -957.7974628171479 -957.7974628171479 3646 4.410939999999995 0.2902246074999914 462
7 1 3 1 1 1 6 1 2  3655.0 -957.7994313210849 -957.7994313210849 3655 4.360019699999994 0.28244735781248814 447
4 1 1 3 3 3 3 1 3  3969.0 -957.8681102362204 -957.8681102362204 3969 4.503183099999969 0.27491296593748155 456
7 6 3 2 7 7 6 1 0  4446.0 -957.9724409448819 -957.9724409448819 4446 6.077872000000192 0.4499734200000352 641
0 4 7 6 0 7 2 3 3  4381.0 -957.9582239720036 -957.9582239720036 4381 5.295103300000029 0.348038409062506 509
4 5 1 1 3 2 7 5 7  3607.0 -957.7889326334207 -957.7889326334207 3607 4.486681 0.30401215562499767 525
1 6 7 5 4 3 2 7 6  3621.0 -957.791994750656 -957.791994750656 3621 4.396139199999991 0.2903569199999919 460
6 2 0 3 0 6 3 0 3  5724.0 -958.251968503937 -958.251968503937 5724 7.725593000000301 0.5656641206250578 659
3 7 6 6 6 0 7 7 7  3947.0 -957.8632983377079 -957.8632983377079 3947 4.650107349999991 0.29700940484374305 456
0 1 0 1 0 0 3 4 6  5129.0 -958.1218285214347 -958.1218285214347 5129 6.764696700000206 0.48517491593753714 536
1 3 0 6 2 0 3 3 0  5430.0 -958.1876640419947 -958.1876640419947 5430 7.024899900000208 0.4948504359375441 620
4 5 4 7 7 4 7 7 1  3716.0 -957.8127734033246 -957.8127734033246 3716 4.636477800000018 0.3151523356249978 481
3 2 7 5 3 1 5 5 5  3852.0 -957.8425196850394 -957.8425196850394 3852 4.41486834999997 0.2729147704687312 517
7 7 2 2 3 5 5 5 7  3719.0 -957.8134295713037 -957.8134295713037 3719 4.6637009000000615 0.31863335656250136 405
3 5 7 3 7 1 7 1 2  3630.0 -957.7939632545931 -957.7939632545931 3630 4.340119300000006 0.2818788890624882 425
