2 4 4 1 3 0 0 2 3  4690.0 -0.9818976713981786 -0.9818976713981786 4690 5.514860300000013 0.35146266718751634 523
1 7 1 4 1 4 7 5 3  3898.0 -0.8144777171674896 -0.8144777171674896 3898 4.632342399999983 0.29881395999999416 502
6 5 4 1 6 4 7 5 6  3807.0 -0.8295023620705748 -0.8295023620705748 3807 4.711541550000027 0.3175824642187506 468
0 3 0 3 6 1 4 7 3  4884.0 -1.0461517007282208 -1.0461517007282208 4884 5.853561450000057 0.38119671515626935 516
6 1 5 7 5 0 2 6 0  4697.0 -1.1659490711083091 -1.1659490711083091 4697 6.485047250000244 0.48417811578128905 663
0 1 3 3 5 1 3 4 7  4271.0 -0.9117218954890665 -0.9117218954890665 4271 5.14494395000002 0.336935056718754 488
6 6 5 2 0 7 7 5 7  3958.0 -0.8997476561642365 -0.8997476561642365 3958 5.081824350000096 0.3553823279687538 473
6 0 3 6 1 1 0 2 6  4437.0 -1.0097241340903433 -1.0097241340903433 4437 5.661541450000093 0.39354158765628144 619
4 5 3 5 1 3 5 4 0  4792.0 -1.0895258404169832 -1.0895258404169832 4792 6.082198800000108 0.42058749625003794 564
2 4 4 5 2 3 7 2 0  4597.0 -1.1056206992271185 -1.1056206992271185 4597 6.167039350000174 0.44914271734378897 630
5 3 7 6 4 6 6 6 4  3888.0 -0.8263665313634069 -0.8263665313634069 3888 4.695011699999996 0.3082923928124989 570
2 2 6 2 0 6 1 0 1  4942.0 -1.1616372173320575 -1.1616372173320575 4942 6.462318250000151 0.4598257501562969 698
0 4 5 3 2 2 3 7 4  4320.0 -0.9125525282383804 -0.9125525282383804 4320 5.1493224500000006 0.3332909507812592 498
3 0 1 7 5 6 5 2 4  4294.0 -0.8938342566996675 -0.8938342566996675 4294 5.050653149999994 0.32198479796875373 509
6 3 2 0 1 1 6 2 7  3965.0 -0.8262206655369924 -0.8262206655369924 3965 4.69424279999999 0.30151476874999505 534
1 2 2 4 5 3 3 6 0  4470.0 -1.0511747571185042 -1.0511747571185042 4470 5.88003940000013 0.42070791562503457 590
1 7 7 3 0 1 6 7 6  4065.0 -0.8493029603177517 -0.8493029603177517 4065 4.815916099999992 0.3095700890624985 552
3 6 3 6 1 6 5 7 7  3711.0 -0.7522772108068606 -0.7522772108068606 3711 4.304465949999983 0.2699608879687313 399
1 1 6 5 1 5 7 7 6  3706.0 -0.7477008104121659 -0.7477008104121659 3706 4.280342449999975 0.26707910828122994 390
5 3 1 3 0 7 2 4 6  4132.0 -0.8794270895939542 -0.8794270895939542 4132 4.974708899999996 0.3255857415625063 478
7 3 1 7 5 3 0 5 4  4470.0 -1.0134449647310628 -1.0134449647310628 4470 5.681155000000106 0.3933774468750317 520
7 2 1 2 1 6 5 2 6  3650.0 -0.7422771494365972 -0.7422771494365972 3650 4.251752799999978 0.26800268749998046 401
0 1 7 4 0 7 7 5 2  4228.0 -0.9404477787425527 -0.9404477787425527 4228 5.296366200000049 0.3614692318750237 520
4 7 0 0 0 4 1 7 2  4318.0 -0.9905349904385579 -0.9905349904385579 4318 5.56039005000008 0.38995269203127464 569
7 3 6 5 2 3 5 2 0  4354.0 -0.9265001582331451 -0.9265001582331451 4354 5.222844350000023 0.34044818546875466 554
4 3 5 3 6 6 1 4 3  3907.0 -0.8315430418660262 -0.8315430418660262 3907 4.722298549999996 0.31039579234375037 501
2 6 4 2 6 5 6 7 4  3903.0 -0.835137650855547 -0.835137650855547 3903 4.741246749999991 0.31334622796875106 547
4 1 6 4 7 6 2 1 0  4543.0 -1.0670791689223358 -1.0670791689223358 4543 5.963876050000122 0.4259032857812883 610
2 3 3 4 0 7 6 5 0  4728.0 -1.1006029166955662 -1.1006029166955662 4728 6.140589200000129 0.4341569662500397 645
4 6 1 2 6 4 2 5 1  3671.0 -0.7871349413062892 -0.7871349413062892 3671 4.488210899999999 0.2986768653124961 510
6 6 6 1 5 5 4 0 6  4426.0 -1.0376277032529726 -1.0376277032529726 4426 5.808629050000136 0.41470733640627533 553
5 0 3 2 2 5 6 5 3  4495.0 -0.9118912091190203 -0.9118912091190203 4495 5.145836450000004 0.3176483570312495 462
4 4 0 7 7 6 6 3 0  5121.0 -1.1446837629389328 -1.1446837629389328 5121 6.372951800000107 0.43203496687504245 588
7 7 7 7 4 7 7 1 3  3856.0 -0.805905372825453 -0.805905372825453 3856 4.58715514999998 0.2962436317187428 535
4 7 2 6 4 6 0 6 0  5133.0 -1.2990887064871952 -1.2990887064871952 5133 7.186863900000295 0.5428420584375534 709
5 2 0 6 6 5 6 6 4  4427.0 -0.9350279119099455 -0.9350279119099455 4427 5.267796550000016 0.3403000985937628 500
2 7 4 2 3 4 6 4 5  3998.0 -0.849531965301957 -0.849531965301957 3998 4.817123249999996 0.3155414482812521 517
1 0 3 0 5 1 7 6 1  4777.0 -1.0991359018315532 -1.0991359018315532 4777 6.1328561500001655 0.4288485048437725 519
3 6 2 3 6 7 1 6 2  3635.0 -0.7544267161080063 -0.7544267161080063 3635 4.315796599999996 0.27810324687498644 397
2 7 6 3 7 7 1 4 7  3685.0 -0.7865257631966687 -0.7865257631966687 3685 4.484999749999995 0.2970225085937439 450
1 7 2 7 5 3 2 4 2  3635.0 -0.778491551637172 -0.778491551637172 3635 4.4426491499999905 0.2955351804687442 484
2 0 6 1 7 2 1 3 4  4291.0 -0.9054789462516495 -0.9054789462516495 4291 5.1120355999999925 0.3306798512500077 491
6 7 3 0 5 2 7 6 4  4291.0 -0.8951999964025076 -0.8951999964025076 4291 5.05785234999999 0.3232340504687539 500
3 5 7 6 1 6 0 1 3  4481.0 -0.9556719765950373 -0.9556719765950373 4481 5.376617250000018 0.35057507703126695 565
1 7 1 4 5 1 1 6 3  3927.0 -0.8112723493050773 -0.8112723493050773 3927 4.615445999999981 0.2939792587499914 501
1 5 6 6 3 3 2 3 4  3904.0 -0.830127418668511 -0.830127418668511 3904 4.714836399999997 0.3096302987499998 526
4 3 4 0 1 4 7 1 7  4279.0 -0.9602808643389066 -0.9602808643389066 4279 5.400912000000074 0.371416705000017 511
7 7 1 6 7 6 7 0 1  4511.0 -1.0620968995689801 -1.0620968995689801 4511 5.937613100000152 0.4250670246875365 630
6 7 6 6 6 5 3 7 7  3741.0 -0.7987214381905025 -0.7987214381905025 3741 4.5492866000000305 0.30100439812499535 412
5 7 4 7 7 5 4 7 2  3664.0 -0.7698443867958009 -0.7698443867958009 3664 4.397067499999981 0.2867585846874892 449
1 0 1 2 4 6 6 2 1  4136.0 -0.923599365197515 -0.923599365197515 4136 5.207553450000065 0.3572363801562586 492
3 7 3 7 5 6 7 1 7  3702.0 -0.7541977111237992 -0.7541977111237992 3702 4.314589449999981 0.27213188765623225 416
7 3 6 3 7 6 5 4 2  3688.0 -0.7787507959408322 -0.7787507959408322 3688 4.444015699999986 0.29113058031249117 542
3 6 4 7 5 5 1 7 2  3588.0 -0.7935192223692754 -0.7935192223692754 3588 4.521864250000041 0.31049332640624827 442
0 5 1 6 1 5 7 7 7  4265.0 -0.9677829852885464 -0.9677829852885464 4265 5.440457800000112 0.3780641281250068 489
6 7 7 4 7 6 7 5 5  3697.0 -0.8068206434190411 -0.8068206434190411 3697 4.591979800000016 0.31068379937500057 451
0 3 7 6 0 4 3 3 7  4528.0 -1.0196108264687176 -1.0196108264687176 4528 5.713657000000106 0.39281820062502537 512
5 2 7 7 6 3 0 2 7  3856.0 -0.8684255736726028 -0.8684255736726028 3856 4.916716800000077 0.34153162000000165 521
6 5 7 1 2 2 2 4 2  3645.0 -0.7661190221542378 -0.7661190221542378 3645 4.377430049999986 0.2857063570312391 528
1 4 3 4 7 5 5 7 2  3609.0 -0.7868613361714913 -0.7868613361714913 3609 4.486768649999987 0.3038509026562483 505
3 6 6 7 7 1 6 2 7  3632.0 -0.7383787054781812 -0.7383787054781812 3632 4.231202999999983 0.2667384368749801 411
6 7 2 4 3 6 6 5 7  3694.0 -0.7998422944208131 -0.7998422944208131 3694 4.555194950000012 0.3058888135937494 441
7 5 5 7 6 5 7 2 6  3634.0 -0.7519393613462567 -0.7519393613462567 3634 4.302685049999989 0.2763881214062353 391
6 0 5 2 7 5 2 7 3  4189.0 -0.8632732698021027 -0.8632732698021027 4189 4.889557549999982 0.3089453542187473 486
5 1 5 5 7 6 1 7 1  3717.0 -0.7663548376250715 -0.7663548376250715 3717 4.378673099999993 0.27963845718748664 411
7 7 0 3 5 5 4 7 4  4368.0 -0.9341141400028401 -0.9341141400028401 4368 5.262979800000032 0.3447504693750158 500
7 1 5 4 7 5 6 7 5  3743.0 -0.841667797744952 -0.841667797744952 3743 4.775669000000064 0.3319403131250006 482
7 3 7 6 6 1 3 2 6  3642.0 -0.7870752309813338 -0.7870752309813338 3642 4.487896150000035 0.30114642984374557 426
1 6 6 3 4 5 7 3 6  3752.0 -0.8294683475788681 -0.8294683475788681 3752 4.711362250000046 0.3223235126562518 497
7 5 6 1 7 3 1 6 7  3692.0 -0.7558075754705722 -0.7558075754705722 3692 4.323075499999979 0.274164519687483 422
6 1 6 1 6 7 6 7 3  3874.0 -0.7975900057866543 -0.7975900057866543 3874 4.543322499999977 0.28866051906248863 544
2 2 3 6 7 7 5 3 6  3687.0 -0.7615101249250241 -0.7615101249250241 3687 4.3531352499999985 0.2787285407812359 396
1 5 2 1 2 6 5 6 1  3800.0 -0.7756913033901893 -0.7756913033901893 3800 4.427888249999978 0.2792096914062349 401
7 5 6 5 7 5 4 2 2  3660.0 -0.7677553411628564 -0.7677553411628564 3660 4.386055549999982 0.2855919304687385 550
5 5 6 4 3 6 6 6 2  3684.0 -0.7817407608215811 -0.7817407608215811 3684 4.459776649999987 0.29364302765624284 466
6 3 6 7 3 5 6 5 6  3712.0 -0.8013221619441424 -0.8013221619441424 3712 4.562995750000036 0.30540111109375034 406
3 5 6 6 7 2 7 6 6  3638.0 -0.7703537979160809 -0.7703537979160809 3638 4.39975275000003 0.28938045921874295 379
5 6 7 5 4 2 5 6 6  3647.0 -0.788023766723385 -0.788023766723385 3647 4.492896150000014 0.30140027984374657 455
