7 3 7 3 3 5 4 4 3  3961.0 -0.04006430775732954 -0.04006430775732954 3961 4.65008344999998 0.29579303640624194 482
2 7 2 1 1 0 7 6 2  3812.0 -0.05945189213899413 -0.05945189213899413 3812 4.602438000000008 0.30215633374999584 477
2 3 1 4 0 7 5 6 7  4101.0 -0.11189574271726858 -0.11189574271726858 4101 4.909924049999996 0.3193691957812535 513
7 4 7 0 7 1 4 1 5  4400.0 -0.1923086563837952 -0.1923086563837952 4400 5.2905176500000195 0.3457619257812653 524
3 2 1 3 0 5 4 4 2  4131.0 -0.09064786802494212 -0.09064786802494212 4131 4.878091399999992 0.3123953231250001 499
0 0 1 0 1 3 3 5 2  5039.0 -0.17318663958114802 -0.17318663958114802 5039 5.647764749999991 0.33948579171875787 519
1 7 6 3 2 7 7 3 1  3851.0 -0.022515158256984275 -0.022515158256984275 3851 4.538808549999982 0.29003314109373995 536
3 2 0 5 0 6 5 5 1  4653.0 -0.5711962766892065 -0.5711962766892065 4653 6.354991500000244 0.47011855218753285 564
0 4 7 2 2 4 2 7 1  3938.0 -0.149935234849235 -0.149935234849235 3938 4.897999700000034 0.33185433031250583 504
1 0 6 6 7 6 0 5 4  4776.0 -0.27288912215319616 -0.27288912215319616 4776 5.720063450000039 0.3722096489062674 491
4 0 7 5 6 7 0 1 6  4695.0 -0.5093689508823369 -0.5093689508823369 4695 6.233804300000155 0.4498258921875417 573
6 2 5 2 6 2 7 6 2  3640.0 0.021599724301597095 0.021599724301597095 3640 4.3003981999999805 0.2755539718749838 376
5 1 0 6 5 6 0 3 2  4698.0 -0.2159859875340407 -0.2159859875340407 4698 5.534971850000024 0.3535331826562593 541
6 4 2 4 1 3 4 7 5  3833.0 -0.08698736377004714 -0.08698736377004714 3833 4.681445950000012 0.3111938904687481 521
0 1 7 7 0 3 6 3 0  5629.0 -0.729641940224148 -0.729641940224148 5629 7.348840100000242 0.5221228065625511 585
7 5 2 4 6 6 7 3 4  4037.0 -0.14710047583556873 -0.14710047583556873 4037 4.953653100000022 0.33092391968750273 529
3 7 5 4 1 7 6 1 5  3667.0 0.023561718599715377 0.023561718599715377 3667 4.312736849999976 0.27491001578123325 432
6 7 7 5 0 1 7 3 4  4366.0 -0.1595595853872253 -0.1595595853872253 4366 5.1908603000000095 0.3350131871875103 511
4 6 0 5 1 1 1 3 3  4634.0 -0.3841024512376943 -0.3841024512376943 4634 5.896151000000109 0.40871153937502996 572
2 2 7 1 0 5 1 2 2  3970.0 -0.11511839716005479 -0.11511839716005479 3970 4.835019650000016 0.32042691953125363 528
0 1 1 0 0 0 2 3 3  5228.0 -0.3740330638128116 -0.3740330638128116 5228 6.246645100000096 0.4054066146875283 506
7 2 0 5 5 4 3 7 3  4316.0 -0.20039949405494176 -0.20039949405494176 4316 5.256876200000036 0.34841746062501 519
5 4 3 7 5 4 2 1 1  3657.0 -0.07177287198760185 -0.07177287198760185 3657 4.534131199999995 0.3062002649999992 529
5 1 5 4 2 2 0 3 1  4553.0 -0.2557422484203653 -0.2557422484203653 4553 5.538497700000036 0.36658178656251944 549
5 7 6 4 0 7 3 2 5  4074.0 -0.08263148705858518 -0.08263148705858518 4074 4.823003749999991 0.3097642260937485 530
2 4 6 4 4 0 5 3 3  4629.0 -0.23814030769671013 -0.23814030769671013 4629 5.544378200000015 0.3608045643750211 539
4 6 3 6 0 3 4 7 6  4226.0 -0.21129869512812988 -0.21129869512812988 4226 5.226159050000022 0.35199474265626957 529
0 7 7 7 3 2 1 1 5  4117.0 -0.08714782067769851 -0.08714782067769851 4117 4.860904150000004 0.3112465548437494 496
4 3 0 1 0 4 1 0 6  5385.0 -0.8184051074961132 -0.8184051074961132 5385 7.406991400000286 0.5512562156250566 622
3 6 2 6 3 7 1 1 5  3775.0 -0.09589732326245733 -0.09589732326245733 3775 4.666155100000051 0.3141182734375015 406
