2 4 6 5 3 2 6 5 0  4515.0 -957.9875328083989 -957.9875328083989 4515 6.0563541000001715 0.4410376828125377 614
0 6 3 2 7 2 4 3 2  4064.0 -957.8888888888887 -957.8888888888887 4064 4.825115299999987 0.3109208815624992 481
3 0 1 6 3 6 3 7 1  4241.0 -957.92760279965 -957.92760279965 4241 5.330402050000097 0.36501996453126545 517
4 3 1 5 2 3 7 0 2  4248.0 -957.9291338582677 -957.9291338582677 4248 5.336764600000066 0.3652877568750167 534
1 3 0 4 0 1 4 7 7  4626.0 -958.011811023622 -958.011811023622 4626 5.914923900000125 0.4119844809375281 516
3 4 7 7 6 0 5 0 0  5045.0 -958.1034558180228 -958.1034558180228 5045 6.7495413000002085 0.49037078281254864 713
7 7 4 2 7 0 7 0 6  4509.0 -957.9862204724409 -957.9862204724409 4509 6.072664850000176 0.4437989807812854 635
3 7 2 3 2 3 3 3 1  3860.0 -957.8442694663167 -957.8442694663167 3860 4.423505799999972 0.27340852812498156 525
2 1 3 4 6 0 2 6 7  3861.0 -957.8444881889764 -957.8444881889764 3861 4.609366299999978 0.29886261843749395 463
3 5 3 0 6 5 0 7 3  4674.0 -958.0223097112862 -958.0223097112862 4674 5.53200770000004 0.35520542531250754 514
7 5 6 0 1 0 7 5 0  4953.0 -958.0833333333335 -958.0833333333335 4953 6.968616900000295 0.5284475990625458 702
2 0 4 2 6 0 2 3 3  4594.0 -958.0048118985127 -958.0048118985127 4594 5.644517600000066 0.377598317500023 520
1 3 1 4 1 6 3 2 5  3642.0 -957.7965879265092 -957.7965879265092 3642 4.40566509999999 0.2898463321874919 497
4 3 0 1 4 0 6 0 5  5358.0 -958.1719160104986 -958.1719160104986 5358 7.198955600000234 0.525007691250055 632
7 2 2 4 1 6 5 7 7  3721.0 -957.813867016623 -957.813867016623 3721 4.6535893500000345 0.3170705410937486 461
2 3 0 0 1 1 7 4 4  4501.0 -957.9844706911636 -957.9844706911636 4501 5.315661100000007 0.34046557468751165 529
3 7 1 0 5 0 0 5 3  5151.0 -958.1266404199474 -958.1266404199474 5151 6.583987600000153 0.4584358012500472 631
1 6 6 5 0 0 0 3 4  5294.0 -958.1579177602799 -958.1579177602799 5294 6.596947800000122 0.44782598937504553 552
