2 3 2 2 2 7 6 3 2  3651.0 -957.7985564304461 -957.7985564304461 3651 4.2406412499999675 0.26638910203122923 525
5 5 7 5 1 0 1 1 4  4534.0 -957.9916885389326 -957.9916885389326 4534 5.530334350000052 0.36710631671877153 554
4 5 2 4 2 6 2 6 0  4517.0 -957.9879702537183 -957.9879702537183 4517 5.927676850000129 0.4231817032812889 635
7 5 7 7 7 5 5 6 6  3691.0 -957.8073053368329 -957.8073053368329 3691 4.275541649999976 0.26771912078122995 371
4 7 2 4 6 4 0 1 2  4332.0 -957.9475065616798 -957.9475065616798 4332 5.79239795000015 0.42062187046877897 563
6 0 6 7 6 4 0 2 2  4468.0 -957.9772528433945 -957.9772528433945 4468 5.671505600000082 0.39222473500002886 595
1 3 0 3 4 0 6 7 3  4779.0 -958.0452755905512 -958.0452755905512 4779 5.757485750000043 0.37709223234377925 542
2 7 1 0 3 2 2 3 5  4228.0 -957.9247594050744 -957.9247594050744 4228 4.949593399999992 0.31381610687500006 508
2 5 5 6 2 2 7 2 2  3675.0 -957.8038057742782 -957.8038057742782 3675 4.423366299999993 0.2894193984374916 382
1 5 7 0 1 0 5 0 6  5059.0 -958.1065179352582 -958.1065179352582 5059 7.058680650000287 0.5316392776562989 682
4 1 0 1 1 3 5 2 0  4900.0 -958.071741032371 -958.071741032371 4900 6.095856200000097 0.413106203125036 569
3 4 1 3 4 6 7 6 3  3845.0 -957.8409886264218 -957.8409886264218 3845 4.507947999999973 0.286312212499988 481
7 0 6 4 2 2 1 3 1  4314.0 -957.9435695538057 -957.9435695538057 4314 5.174557500000009 0.3372786159375115 518
3 1 2 5 1 1 1 2 5  3734.0 -957.8167104111986 -957.8167104111986 3734 4.268820549999967 0.26306961359372716 515
0 7 7 4 2 0 7 3 3  4564.0 -957.9982502187227 -957.9982502187227 4564 5.358900150000004 0.3409485573437615 514
6 6 0 1 3 2 7 5 6  3894.0 -957.8517060367454 -957.8517060367454 3894 4.78005550000003 0.3194591221875 493
4 6 6 4 7 5 1 7 5  3674.0 -957.8035870516186 -957.8035870516186 3674 4.52690810000001 0.30373464406249695 488
3 7 4 5 0 0 0 3 6  4781.0 -958.0457130358704 -958.0457130358704 4781 6.005541450000095 0.41100646765628146 586
6 3 5 1 2 5 0 7 6  4013.0 -957.8777340332459 -957.8777340332459 4013 4.7288563499999885 0.30211217796874507 531
2 4 3 1 6 4 3 7 1  3668.0 -957.8022747156605 -957.8022747156605 3668 4.601226800000014 0.31446732874999916 503
2 5 5 6 1 0 6 1 7  4001.0 -957.8751093613299 -957.8751093613299 4001 4.932951900000039 0.33119854343750293 475
0 7 0 7 2 7 6 5 6  4326.0 -957.9461942257218 -957.9461942257218 4326 5.078191000000011 0.3229962543750047 470
6 2 0 1 1 5 3 0 4  4994.0 -958.0923009623797 -958.0923009623797 4994 6.229378100000088 0.4233096378125419 580
0 1 3 6 2 3 7 1 1  4190.0 -957.9164479440069 -957.9164479440069 4190 4.9115934 0.3118868468749988 460
3 7 1 3 4 6 3 5 5  3860.0 -957.8442694663167 -957.8442694663167 3860 4.5229479999999755 0.287073762499988 488
1 7 4 6 4 1 6 6 3  3935.0 -957.8606736657919 -957.8606736657919 3935 4.766234799999992 0.3140072937500012 561
6 3 7 4 6 1 2 7 7  3611.0 -957.7898075240594 -957.7898075240594 3611 4.366378249999987 0.28713369265624006 468
3 7 0 6 3 1 0 7 4  4546.0 -957.9943132108488 -957.9943132108488 4546 5.4173941500000184 0.3505464160937636 525
7 7 0 4 6 6 0 1 0  5327.0 -958.165135608049 -958.165135608049 5327 7.821979300000421 0.6133090165625544 750
1 5 6 1 1 5 4 6 7  3691.0 -957.8073053368329 -957.8073053368329 3691 4.498011700000008 0.2982907028124947 447
0 2 5 5 7 6 4 0 3  5146.0 -958.1255468066491 -958.1255468066491 5146 6.338031500000093 0.4250700371875392 576
2 3 1 6 2 7 7 3 6  3695.0 -957.8081802274714 -957.8081802274714 3695 4.268067549999977 0.2663454429687293 411
4 2 6 1 6 0 4 5 4  4408.0 -957.9641294838146 -957.9641294838146 4408 5.422182950000026 0.36316203109377343 509
4 0 4 5 6 6 6 2 1  4137.0 -957.9048556430445 -957.9048556430445 4137 5.162657050000029 0.3509801189062673 529
6 7 0 1 2 2 4 4 0  4918.0 -958.075678040245 -958.075678040245 4918 6.097919950000073 0.41183012171879174 604
1 3 0 7 1 5 1 1 3  4347.0 -957.9507874015748 -957.9507874015748 4347 4.931541649999978 0.30102424078124246 514
7 2 7 0 0 6 2 1 1  4255.0 -957.9306649168855 -957.9306649168855 4255 5.462330300000085 0.3819363109375304 602
7 6 7 5 6 1 4 6 5  3773.0 -957.8252405949256 -957.8252405949256 3773 4.610609300000005 0.30665853031249574 450
0 2 5 7 1 4 5 5 1  4503.0 -957.9849081364829 -957.9849081364829 4503 5.221406149999983 0.32733986859375414 491
2 0 2 7 1 3 0 6 5  4542.0 -957.9934383202101 -957.9934383202101 4542 5.548533550000062 0.36891403921877536 523
7 7 6 6 6 2 1 1 3  3884.0 -957.8495188101488 -957.8495188101488 3884 4.496589449999974 0.2813720276562352 530
